"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","butterknife.compiler","..\data\repositories\JakeWharton_butterknife\butterknife-compiler\src\main\java\butterknife\compiler\BindingSet.java","3","42","Possible God Class (WMC=151, ATFD=72, TCC=14.023%)","Design","GodClass"
"2","butterknife.compiler","..\data\repositories\JakeWharton_butterknife\butterknife-compiler\src\main\java\butterknife\compiler\BindingSet.java","3","42","The class 'BindingSet' has a total cyclomatic complexity of 151 (highest 21).","Design","CyclomaticComplexity"
"3","butterknife.compiler","..\data\repositories\JakeWharton_butterknife\butterknife-compiler\src\main\java\butterknife\compiler\BindingSet.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","butterknife.compiler","..\data\repositories\JakeWharton_butterknife\butterknife-compiler\src\main\java\butterknife\compiler\BindingSet.java","3","104","The method 'createType(int, boolean)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","butterknife.compiler","..\data\repositories\JakeWharton_butterknife\butterknife-compiler\src\main\java\butterknife\compiler\BindingSet.java","3","195","The method 'createBindingConstructor(int, boolean)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"6","butterknife.compiler","..\data\repositories\JakeWharton_butterknife\butterknife-compiler\src\main\java\butterknife\compiler\BindingSet.java","3","272","The method 'createBindingUnbindMethod(Builder)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"7","butterknife.compiler","..\data\repositories\JakeWharton_butterknife\butterknife-compiler\src\main\java\butterknife\compiler\BindingSet.java","3","371","The method 'addViewBinding(Builder, ViewBinding, boolean)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"8","butterknife.compiler","..\data\repositories\JakeWharton_butterknife\butterknife-compiler\src\main\java\butterknife\compiler\BindingSet.java","3","433","The method 'addMethodBindings(Builder, ViewBinding, boolean)' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"9","butterknife.compiler","..\data\repositories\JakeWharton_butterknife\butterknife-compiler\src\main\java\butterknife\compiler\BindingSet.java","3","587","The method 'bestGuess(String)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","butterknife.compiler","..\data\repositories\JakeWharton_butterknife\butterknife-compiler\src\main\java\butterknife\compiler\ButterKnifeProcessor.java","3","94","Possible God Class (WMC=238, ATFD=220, TCC=1.616%)","Design","GodClass"
