"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","me.jessyan.autosize","..\data\repositories\JessYanCoding_AndroidAutoSize\autosize\src\main\java\me\jessyan\autosize\AutoSize.java","3","52","Possible God Class (WMC=50, ATFD=125, TCC=0.000%)","Design","GodClass"
"2","me.jessyan.autosize","..\data\repositories\JessYanCoding_AndroidAutoSize\autosize\src\main\java\me\jessyan\autosize\AutoSize.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","me.jessyan.autosize","..\data\repositories\JessYanCoding_AndroidAutoSize\autosize\src\main\java\me\jessyan\autosize\AutoSize.java","3","176","The method 'autoConvertDensity(Activity, float, boolean)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","me.jessyan.autosize","..\data\repositories\JessYanCoding_AndroidAutoSize\autosize\src\main\java\me\jessyan\autosize\AutoSizeCompat.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","me.jessyan.autosize","..\data\repositories\JessYanCoding_AndroidAutoSize\autosize\src\main\java\me\jessyan\autosize\AutoSizeCompat.java","3","137","The method 'autoConvertDensity(Resources, float, boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","me.jessyan.autosize","..\data\repositories\JessYanCoding_AndroidAutoSize\autosize\src\main\java\me\jessyan\autosize\AutoSizeConfig.java","3","46","Possible God Class (WMC=57, ATFD=23, TCC=4.949%)","Design","GodClass"
"2","me.jessyan.autosize","..\data\repositories\JessYanCoding_AndroidAutoSize\autosize\src\main\java\me\jessyan\autosize\AutoSizeConfig.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","me.jessyan.autosize","..\data\repositories\JessYanCoding_AndroidAutoSize\autosize\src\main\java\me\jessyan\autosize\AutoSizeConfig.java","3","46","Too many fields","Design","TooManyFields"
"1","me.jessyan.autosize","..\data\repositories\JessYanCoding_AndroidAutoSize\autosize\src\main\java\me\jessyan\autosize\onAdaptListener.java","1","29","The interface name 'onAdaptListener' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"1","me.jessyan.autosize.utils","..\data\repositories\JessYanCoding_AndroidAutoSize\autosize\src\main\java\me\jessyan\autosize\utils\Preconditions.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
