"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.lmax.disruptor.examples","..\data\repositories\LMAX-Exchange_disruptor\src\examples\java\com\lmax\disruptor\examples\HandleExceptionOnTranslate.java","3","56","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.lmax.disruptor.examples","..\data\repositories\LMAX-Exchange_disruptor\src\examples\java\com\lmax\disruptor\examples\PullWithBatchedPoller.java","3","24","Empty if statement","Code Style","EmptyControlStatement"
"1","com.lmax.disruptor.examples","..\data\repositories\LMAX-Exchange_disruptor\src\examples\java\com\lmax\disruptor\examples\PullWithPoller.java","3","36","Empty if statement","Code Style","EmptyControlStatement"
"1","com.lmax.disruptor.examples","..\data\repositories\LMAX-Exchange_disruptor\src\examples\java\com\lmax\disruptor\examples\WaitForProcessing.java","3","42","Empty while statement","Code Style","EmptyControlStatement"
"1","com.lmax.disruptor","..\data\repositories\LMAX-Exchange_disruptor\src\jcstress\java\com\lmax\disruptor\LoggerInitializationStress.java","3","46","Empty while statement","Code Style","EmptyControlStatement"
"1","com.lmax.disruptor","..\data\repositories\LMAX-Exchange_disruptor\src\jmh\java\com\lmax\disruptor\SequenceBenchmark.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.lmax.disruptor","..\data\repositories\LMAX-Exchange_disruptor\src\main\java\com\lmax\disruptor\BatchEventProcessor.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.lmax.disruptor","..\data\repositories\LMAX-Exchange_disruptor\src\main\java\com\lmax\disruptor\EventSink.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.lmax.disruptor","..\data\repositories\LMAX-Exchange_disruptor\src\main\java\com\lmax\disruptor\MultiProducerSequencer.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.lmax.disruptor","..\data\repositories\LMAX-Exchange_disruptor\src\main\java\com\lmax\disruptor\RingBuffer.java","3","84","Possible God Class (WMC=97, ATFD=14, TCC=0.000%)","Design","GodClass"
"2","com.lmax.disruptor","..\data\repositories\LMAX-Exchange_disruptor\src\main\java\com\lmax\disruptor\RingBuffer.java","3","84","The class 'RingBuffer' has a total cyclomatic complexity of 97 (highest 6).","Design","CyclomaticComplexity"
"3","com.lmax.disruptor","..\data\repositories\LMAX-Exchange_disruptor\src\main\java\com\lmax\disruptor\RingBuffer.java","3","85","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.lmax.disruptor","..\data\repositories\LMAX-Exchange_disruptor\src\main\java\com\lmax\disruptor\SingleProducerSequencer.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.lmax.disruptor","..\data\repositories\LMAX-Exchange_disruptor\src\main\java\com\lmax\disruptor\SingleProducerSequencer.java","3","192","Consider simply returning the value vs storing it in local variable 'nextSequence'","Code Style","UnnecessaryLocalBeforeReturn"
"1","com.lmax.disruptor.dsl","..\data\repositories\LMAX-Exchange_disruptor\src\main\java\com\lmax\disruptor\dsl\Disruptor.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
