"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.android.material.appbar","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","45","Possible God Class (WMC=190, ATFD=103, TCC=16.543%)","Design","GodClass"
"2","com.google.android.material.appbar","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","45","The class 'SubtitleCollapsingToolbarLayout' has a total cyclomatic complexity of 190 (highest 18).","Design","CyclomaticComplexity"
"3","com.google.android.material.appbar","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.google.android.material.appbar","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","45","Too many fields","Design","TooManyFields"
"5","com.google.android.material.appbar","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","215","The method 'draw(Canvas)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"6","com.google.android.material.appbar","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\appbar\SubtitleCollapsingToolbarLayout.java","3","362","The method 'onLayout(boolean, int, int, int, int)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"1","com.google.android.material.internal","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","35","Possible God Class (WMC=231, ATFD=56, TCC=6.904%)","Design","GodClass"
"2","com.google.android.material.internal","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","35","The class 'SubtitleCollapsingTextHelper' has a total cyclomatic complexity of 231 (highest 24).","Design","CyclomaticComplexity"
"3","com.google.android.material.internal","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.google.android.material.internal","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","35","Too many fields","Design","TooManyFields"
"5","com.google.android.material.internal","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","703","The method 'calculateBaseOffsets()' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"6","com.google.android.material.internal","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","837","The method 'draw(Canvas)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"7","com.google.android.material.internal","..\data\repositories\LSPosed_LSPosed\app\src\main\java\com\google\android\material\internal\SubtitleCollapsingTextHelper.java","3","947","The method 'calculateUsingTitleTextSize(float)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
