"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.netflix.hystrix.contrib.codahalemetricspublisher","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-codahale-metrics-publisher\src\main\java\com\netflix\hystrix\contrib\codahalemetricspublisher\HystrixCodaHaleMetricsPublisherCommand.java","4","20","Unused import 'com.netflix.hystrix.*'","Code Style","UnnecessaryImport"
"2","com.netflix.hystrix.contrib.codahalemetricspublisher","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-codahale-metrics-publisher\src\main\java\com\netflix\hystrix\contrib\codahalemetricspublisher\HystrixCodaHaleMetricsPublisherCommand.java","4","21","Unused import 'com.netflix.hystrix.metric.consumer.*'","Code Style","UnnecessaryImport"
"1","com.netflix.hystrix.contrib.javanica.test.aspectj.error","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\ajcTest\java\com\netflix\hystrix\contrib\javanica\test\aspectj\error\ObservableErrorPropagationTest.java","4","18","Unused import 'com.netflix.hystrix.contrib.javanica.test.common.error.BasicErrorPropagationTest'","Code Style","UnnecessaryImport"
"1","com.netflix.hystrix.contrib.javanica.aop.aspectj","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\aop\aspectj\HystrixCommandAspect.java","3","87","The method 'methodsAnnotatedWithHystrixCommand(ProceedingJoinPoint)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"2","com.netflix.hystrix.contrib.javanica.aop.aspectj","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\aop\aspectj\HystrixCommandAspect.java","3","196","The method 'create(Object, Method, Object, Object[], ProceedingJoinPoint)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","com.netflix.hystrix.contrib.javanica.command","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\command\GenericSetterBuilder.java","3","117","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.netflix.hystrix.contrib.javanica.command","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\command\MetaHolder.java","4","23","Unused import 'com.netflix.hystrix.contrib.javanica.annotation.*'","Code Style","UnnecessaryImport"
"2","com.netflix.hystrix.contrib.javanica.command","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\command\MetaHolder.java","3","40","Possible God Class (WMC=58, ATFD=28, TCC=5.700%)","Design","GodClass"
"3","com.netflix.hystrix.contrib.javanica.command","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\command\MetaHolder.java","3","352","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.netflix.hystrix.contrib.javanica.command","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\command\MetaHolder.java","3","352","Too many fields","Design","TooManyFields"
"1","com.netflix.hystrix.contrib.javanica.utils","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\utils\FallbackMethod.java","3","48","Possible God Class (WMC=80, ATFD=50, TCC=6.926%)","Design","GodClass"
"2","com.netflix.hystrix.contrib.javanica.utils","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\utils\FallbackMethod.java","3","48","The class 'FallbackMethod' has a total cyclomatic complexity of 80 (highest 18).","Design","CyclomaticComplexity"
"3","com.netflix.hystrix.contrib.javanica.utils","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\utils\FallbackMethod.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.netflix.hystrix.contrib.javanica.utils","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\utils\FallbackMethod.java","3","95","The method 'validateReturnType(Method)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"5","com.netflix.hystrix.contrib.javanica.utils","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\utils\FallbackMethod.java","3","234","The method 'equals(Type, Type)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.netflix.hystrix.contrib.javanica.utils.ajc","..\data\repositories\Netflix_Hystrix\hystrix-contrib\hystrix-javanica\src\main\java\com\netflix\hystrix\contrib\javanica\utils\ajc\AjcUtils.java","3","35","The method 'getAjcMethod(Class<?>, String, AdviceType, Class<?>[])' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
