"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\BlockingGetPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\BlockingPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\CallableAsyncPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\CallableAsyncPerf.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\EachTypeFlatMapPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\FlatMapJustPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\FlattenCrossMapPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\FlattenRangePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\FlowableFlatMapCompletableAsyncPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\FlowableFlatMapCompletableSyncPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\InputWithIncrementingInteger.java","4","20","Unused import 'org.reactivestreams.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\JustAsyncPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\JustAsyncPerf.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\MemoryPerf.java","4","22","Unused import 'io.reactivex.rxjava3.functions.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\ObservableFlatMapPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorFlatMapPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorFlatMapPerf.java","3","62","Empty while statement","Code Style","EmptyControlStatement"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","43","Empty while statement","Code Style","EmptyControlStatement"
"3","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","62","Empty while statement","Code Style","EmptyControlStatement"
"4","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","79","Empty while statement","Code Style","EmptyControlStatement"
"5","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","96","Empty while statement","Code Style","EmptyControlStatement"
"6","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","108","Empty while statement","Code Style","EmptyControlStatement"
"7","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java","3","119","Empty while statement","Code Style","EmptyControlStatement"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\PerfAsyncConsumer.java","3","75","Empty while statement","Code Style","EmptyControlStatement"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\PerfInteropConsumer.java","4","17","Unused import 'org.reactivestreams.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\PublishProcessorPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\RangePerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\RangePerf.java","3","65","Empty while statement","Code Style","EmptyControlStatement"
"3","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\RangePerf.java","3","78","Empty while statement","Code Style","EmptyControlStatement"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\ReducePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\RxVsStreamPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\StrictPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\StrictPerf.java","4","21","Unused import 'org.reactivestreams.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","4","18","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","4","20","Unused import 'io.reactivex.rxjava3.functions.*'","Code Style","UnnecessaryImport"
"3","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","3","53","Empty while statement","Code Style","EmptyControlStatement"
"4","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","3","62","Empty while statement","Code Style","EmptyControlStatement"
"5","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","3","79","Empty while statement","Code Style","EmptyControlStatement"
"6","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\TakeUntilPerf.java","3","93","Empty while statement","Code Style","EmptyControlStatement"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\ToFlowablePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\core\ToFlowablePerf.java","4","22","Unused import 'io.reactivex.rxjava3.functions.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.parallel","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\parallel\ParallelPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.parallel","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\parallel\ParallelPerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapCompletablePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapCompletablePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybeEmptyPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybeEmptyPerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapMaybePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapSinglePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableConcatMapSinglePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapCompletablePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapCompletablePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybeEmptyPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybeEmptyPerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapMaybePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapSinglePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableFlatMapSinglePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapCompletablePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapCompletablePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapMaybeEmptyPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapMaybeEmptyPerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapMaybePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapMaybePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapSinglePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\FlowableSwitchMapSinglePerf.java","4","23","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapCompletablePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapCompletablePerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapMaybeEmptyPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapMaybeEmptyPerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapMaybePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapMaybePerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapSinglePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableConcatMapSinglePerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapCompletablePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapCompletablePerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapMaybeEmptyPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapMaybeEmptyPerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapMaybePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapMaybePerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapSinglePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableFlatMapSinglePerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableSwitchMapCompletablePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableSwitchMapCompletablePerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableSwitchMapMaybeEmptyPerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableSwitchMapMaybeEmptyPerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableSwitchMapMaybePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableSwitchMapMaybePerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableSwitchMapSinglePerf.java","4","19","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.reactivex.rxjava3.xmapz","..\data\repositories\ReactiveX_RxJava\src\jmh\java\io\reactivex\rxjava3\xmapz\ObservableSwitchMapSinglePerf.java","4","22","Unused import 'io.reactivex.rxjava3.core.*'","Code Style","UnnecessaryImport"
"1","io.reactivex.rxjava3.core","..\data\repositories\ReactiveX_RxJava\src\main\java\io\reactivex\rxjava3\core\CompletableEmitter.java","4","16","Unused import 'io.reactivex.rxjava3.annotations.*'","Code Style","UnnecessaryImport"
