"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\AnnotationsDirectory.java","3","62","The method 'compareTo(AnnotationsDirectory)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\Dex.java","3","49","Possible God Class (WMC=108, ATFD=7, TCC=24.444%)","Design","GodClass"
"2","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\Dex.java","3","49","The class 'Dex' has a total cyclomatic complexity of 108 (highest 15).","Design","CyclomaticComplexity"
"3","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\Dex.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\Dex.java","3","106","The constructor 'Dex(File)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"5","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\Dex.java","3","133","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"6","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\Dex.java","3","149","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"7","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\Dex.java","3","193","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"8","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\Dex.java","3","620","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\DexFormat.java","3","116","The method 'magicToApi(byte[])' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\EncodedValue.java","4","24","Unused static import 'com.tencent.tinker.android.dex.TableOfContents.Section.Item'","Code Style","UnnecessaryImport"
"1","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\EncodedValueReader.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.tencent.tinker.android.dex","..\data\repositories\Tencent_tinker\third-party\aosp-dexutils\src\main\java\com\tencent\tinker\android\dex\EncodedValueReader.java","3","235","The method 'skipValue()' has a cyclomatic complexity of 22.","Design","CyclomaticComplexity"
