"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.thealgorithms.backtracking","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\backtracking\WordPatternMatcher.java","3","50","The method 'backtrack(String, String, int, int, Map<Character, String>, Map<String, Character>)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.ciphers","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\ciphers\AES.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.ciphers","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\ciphers\DES.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.ciphers","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\ciphers\RailFenceCipher.java","3","15","The method 'encrypt(String, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"2","com.thealgorithms.ciphers","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\ciphers\RailFenceCipher.java","3","73","The method 'decrypt(String, int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.thealgorithms.conversions","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\conversions\RgbHsvConversion.java","3","58","The method 'hsvToRgb(double, double, double)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"2","com.thealgorithms.conversions","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\conversions\RgbHsvConversion.java","3","87","The method 'rgbToHsv(int, int, int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"3","com.thealgorithms.conversions","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\conversions\RgbHsvConversion.java","3","131","The method 'getRgbBySection(double, double, double, double)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.thealgorithms.conversions","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\conversions\WordsToNumber.java","3","19","Possible God Class (WMC=63, ATFD=8, TCC=0.000%)","Design","GodClass"
"2","com.thealgorithms.conversions","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\conversions\WordsToNumber.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.thealgorithms.conversions","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\conversions\WordsToNumber.java","3","201","The method 'convertWordQueueToBigDecimal(ArrayDeque<String>)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.crdt","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\crdt\ORSet.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.datastructures.graphs","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\graphs\BellmanFord.java","3","60","The method 'go()' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"2","com.thealgorithms.datastructures.graphs","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\graphs\BellmanFord.java","3","129","The method 'show(int, int, Edge[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.graphs","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\graphs\DijkstraAlgorithm.java","3","32","The method 'run(int[][], int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.graphs","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\graphs\DijkstraOptimizedAlgorithm.java","3","35","The method 'run(int[][], int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.graphs","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\graphs\EdmondsBlossomAlgorithm.java","3","33","The method 'maximumMatching(Iterable<int[]>, int)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.graphs","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\graphs\FordFulkerson.java","3","30","The method 'networkFlow(int, int[][], int[][], int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.graphs","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\graphs\MatrixGraphs.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.datastructures.hashmap.hashing","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\hashmap\hashing\HashMap.java","3","177","The method 'delete(K)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.hashmap.hashing","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\hashmap\hashing\HashMapCuckooHashing.java","3","14","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.datastructures.hashmap.hashing","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\hashmap\hashing\MainCuckooHashing.java","3","9","The method 'main(String[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.heaps","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\heaps\FibonacciHeap.java","3","28","Possible God Class (WMC=49, ATFD=83, TCC=30.994%)","Design","GodClass"
"2","com.thealgorithms.datastructures.heaps","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\heaps\FibonacciHeap.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.datastructures.heaps","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\heaps\MaxHeap.java","3","200","The method 'deleteElement(int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.heaps","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\heaps\MinHeap.java","3","223","The method 'deleteElement(int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.lists","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\lists\DoublyLinkedList.java","3","172","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.datastructures.lists","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\lists\MergeSortedArrayList.java","3","46","The method 'merge(List<Integer>, List<Integer>, Collection<Integer>)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.lists","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\lists\SinglyLinkedList.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.thealgorithms.datastructures.lists","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\lists\SinglyLinkedList.java","3","81","The method 'swapNodes(int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\AVLSimple.java","3","50","The method 'insert(Node, int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\AVLTree.java","3","12","Possible God Class (WMC=50, ATFD=90, TCC=14.286%)","Design","GodClass"
"2","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\AVLTree.java","3","12","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\BSTIterative.java","3","91","The method 'remove(int)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\BSTRecursiveGeneric.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\BinaryTree.java","3","133","The method 'remove(int)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\BoundaryTraversal.java","3","123","The method 'iterativeBoundaryTraversal(Node)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\CheckIfBinaryTreeBalanced.java","3","74","The method 'isBalancedIterative(Node)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\GenericTree.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\KDTree.java","3","16","Possible God Class (WMC=52, ATFD=65, TCC=28.571%)","Design","GodClass"
"2","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\KDTree.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\RedBlackBST.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\RedBlackBST.java","3","243","The method 'deleteFixup(Node)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\SameTreesCheck.java","3","38","The method 'check(Node, Node)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\SplayTree.java","3","194","The method 'splay(Node, int)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.thealgorithms.datastructures.trees","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\datastructures\trees\Treap.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.divideandconquer","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\divideandconquer\ClosestPair.java","3","168","The method 'closestPair(Location[], int)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.thealgorithms.divideandconquer","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\divideandconquer\MedianOfTwoSortedArrays.java","3","16","The method 'findMedianSortedArrays(int[], int[])' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","com.thealgorithms.divideandconquer","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\divideandconquer\TilingProblem.java","3","59","The method 'fillBoard(int, int, int, int, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.dynamicprogramming","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\dynamicprogramming\LongestCommonSubsequence.java","3","23","The method 'getLCS(String, String)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.dynamicprogramming","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\dynamicprogramming\LongestValidParentheses.java","3","14","The method 'getLongestValidParentheses(String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.thealgorithms.dynamicprogramming","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\dynamicprogramming\PalindromicPartitioning.java","3","28","The method 'minimalPartitions(String)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.dynamicprogramming","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\dynamicprogramming\RegexMatching.java","3","30","The method 'regexRecursion(String, String)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"2","com.thealgorithms.dynamicprogramming","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\dynamicprogramming\RegexMatching.java","3","77","The method 'regexRecursion(String, String, int, int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"3","com.thealgorithms.dynamicprogramming","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\dynamicprogramming\RegexMatching.java","3","122","The method 'regexRecursion(String, String, int, int, int[][])' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.thealgorithms.graph","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\graph\TravelingSalesman.java","3","112","The method 'dynamicProgramming(int[][])' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"1","com.thealgorithms.io","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\io\BufferedReader.java","3","14","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.lineclipping","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\lineclipping\CohenSutherland.java","3","68","The method 'cohenSutherlandClip(Line)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","com.thealgorithms.lineclipping","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\lineclipping\LiangBarsky.java","3","56","The method 'clipLine(double[], double[])' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.thealgorithms.maths","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\maths\Area.java","3","6","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.thealgorithms.maths","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\maths\LongDivision.java","3","14","The method 'divide(int, int)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"1","com.thealgorithms.maths","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\maths\MathBuilder.java","3","49","The class 'Builder' has a total cyclomatic complexity of 103 (highest 4).","Design","CyclomaticComplexity"
"2","com.thealgorithms.maths","..\data\repositories\TheAlgorithms_Java\src\main\java\com\thealgorithms\maths\MathBuilder.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
