"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","liquibase.database.core","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\liquibase\database\core\DmDatabase.java","3","41","Possible God Class (WMC=120, ATFD=61, TCC=0.336%)","Design","GodClass"
"2","liquibase.database.core","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\liquibase\database\core\DmDatabase.java","3","41","The class 'DmDatabase' has a total cyclomatic complexity of 120 (highest 36).","Design","CyclomaticComplexity"
"3","liquibase.database.core","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\liquibase\database\core\DmDatabase.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","liquibase.database.core","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\liquibase\database\core\DmDatabase.java","3","282","The method 'isSystemObject(DatabaseObject)' has a cyclomatic complexity of 36.","Design","CyclomaticComplexity"
"5","liquibase.database.core","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\liquibase\database\core\DmDatabase.java","3","461","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","liquibase.datatype.core","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\liquibase\datatype\core\BooleanType.java","4","5","Unused import 'liquibase.database.core.*'","Code Style","UnnecessaryImport"
"2","liquibase.datatype.core","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\liquibase\datatype\core\BooleanType.java","3","20","The method 'toDatabaseDataType(Database)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"3","liquibase.datatype.core","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\liquibase\datatype\core\BooleanType.java","3","64","The method 'objectToSql(Object, Database)' has a cyclomatic complexity of 27.","Design","CyclomaticComplexity"
"1","org.flowable.common.engine.impl","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\org\flowable\common\engine\impl\AbstractEngineConfiguration.java","3","132","Possible God Class (WMC=374, ATFD=89, TCC=1.173%)","Design","GodClass"
"2","org.flowable.common.engine.impl","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\org\flowable\common\engine\impl\AbstractEngineConfiguration.java","3","132","The class 'AbstractEngineConfiguration' has a total cyclomatic complexity of 374 (highest 18).","Design","CyclomaticComplexity"
"3","org.flowable.common.engine.impl","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\org\flowable\common\engine\impl\AbstractEngineConfiguration.java","3","132","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","org.flowable.common.engine.impl","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\org\flowable\common\engine\impl\AbstractEngineConfiguration.java","3","132","Too many fields","Design","TooManyFields"
"5","org.flowable.common.engine.impl","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\org\flowable\common\engine\impl\AbstractEngineConfiguration.java","3","440","The method 'initDataSource()' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"6","org.flowable.common.engine.impl","..\data\repositories\YunaiV_yudao-cloud\sql\dm\flowable-patch\src\main\java\org\flowable\common\engine\impl\AbstractEngineConfiguration.java","3","496","The method 'initDatabaseType()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","cn.iocoder.yudao.framework.common.biz.infra.logger.dto","..\data\repositories\YunaiV_yudao-cloud\yudao-framework\yudao-common\src\main\java\cn\iocoder\yudao\framework\common\biz\infra\logger\dto\ApiAccessLogCreateReqDTO.java","3","14","Too many fields","Design","TooManyFields"
"1","cn.iocoder.yudao.framework.common.biz.infra.logger.dto","..\data\repositories\YunaiV_yudao-cloud\yudao-framework\yudao-common\src\main\java\cn\iocoder\yudao\framework\common\biz\infra\logger\dto\ApiErrorLogCreateReqDTO.java","3","11","Too many fields","Design","TooManyFields"
"1","cn.iocoder.yudao.framework.common.biz.system.oauth2","..\data\repositories\YunaiV_yudao-cloud\yudao-framework\yudao-common\src\main\java\cn\iocoder\yudao\framework\common\biz\system\oauth2\OAuth2TokenCommonApi.java","4","13","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","cn.iocoder.yudao.framework.common.util.collection","..\data\repositories\YunaiV_yudao-cloud\yudao-framework\yudao-common\src\main\java\cn\iocoder\yudao\framework\common\util\collection\CollectionUtils.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cn.iocoder.yudao.framework.common.util.date","..\data\repositories\YunaiV_yudao-cloud\yudao-framework\yudao-common\src\main\java\cn\iocoder\yudao\framework\common\util\date\LocalDateTimeUtils.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","cn.iocoder.yudao.framework.common.util.date","..\data\repositories\YunaiV_yudao-cloud\yudao-framework\yudao-common\src\main\java\cn\iocoder\yudao\framework\common\util\date\LocalDateTimeUtils.java","3","223","The method 'getDateRangeList(LocalDateTime, LocalDateTime, Integer)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","cn.iocoder.yudao.framework.common.util.http","..\data\repositories\YunaiV_yudao-cloud\yudao-framework\yudao-common\src\main\java\cn\iocoder\yudao\framework\common\util\http\HttpUtils.java","3","67","The method 'append(String, Map<String, ?>, Map<String, String>, boolean)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","cn.iocoder.yudao.framework.common.util.json","..\data\repositories\YunaiV_yudao-cloud\yudao-framework\yudao-common\src\main\java\cn\iocoder\yudao\framework\common\util\json\JsonUtils.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
