"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.alibaba.csp.sentinel.adapter.dubbo","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\main\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilter.java","4","18","Unused import 'com.alibaba.csp.sentinel.*'","Code Style","UnnecessaryImport"
"2","com.alibaba.csp.sentinel.adapter.dubbo","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\main\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilter.java","4","24","Unused import 'org.apache.dubbo.rpc.*'","Code Style","UnnecessaryImport"
"3","com.alibaba.csp.sentinel.adapter.dubbo","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\main\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilter.java","4","29","Unused import 'java.util.function.BiConsumer'","Code Style","UnnecessaryImport"
"1","com.alibaba.csp.sentinel.adapter.dubbo","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\main\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboProviderFilter.java","4","18","Unused import 'com.alibaba.csp.sentinel.*'","Code Style","UnnecessaryImport"
"1","com.alibaba.csp.sentinel","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\DubboTestUtil.java","3","72","Consider simply returning the value vs storing it in local variable 'url'","Code Style","UnnecessaryLocalBeforeReturn"
"1","com.alibaba.csp.sentinel.adapter.dubbo","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilterTest.java","4","23","Unused import 'com.alibaba.csp.sentinel.adapter.dubbo.fallback.DubboFallback'","Code Style","UnnecessaryImport"
"2","com.alibaba.csp.sentinel.adapter.dubbo","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilterTest.java","4","24","Unused import 'com.alibaba.csp.sentinel.adapter.dubbo.fallback.DubboFallbackRegistry'","Code Style","UnnecessaryImport"
"3","com.alibaba.csp.sentinel.adapter.dubbo","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilterTest.java","4","32","Unused import 'com.alibaba.csp.sentinel.slots.block.BlockException'","Code Style","UnnecessaryImport"
"4","com.alibaba.csp.sentinel.adapter.dubbo","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilterTest.java","4","40","Unused import 'org.apache.dubbo.rpc.*'","Code Style","UnnecessaryImport"
"5","com.alibaba.csp.sentinel.adapter.dubbo","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo\SentinelDubboConsumerFilterTest.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.alibaba.csp.sentinel.adapter.dubbo3","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo3-adapter\src\main\java\com\alibaba\csp\sentinel\adapter\dubbo3\SentinelDubboConsumerFilter.java","4","18","Unused import 'com.alibaba.csp.sentinel.*'","Code Style","UnnecessaryImport"
"2","com.alibaba.csp.sentinel.adapter.dubbo3","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo3-adapter\src\main\java\com\alibaba\csp\sentinel\adapter\dubbo3\SentinelDubboConsumerFilter.java","4","24","Unused import 'org.apache.dubbo.rpc.*'","Code Style","UnnecessaryImport"
"1","com.alibaba.csp.sentinel.adapter.dubbo3","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo3-adapter\src\main\java\com\alibaba\csp\sentinel\adapter\dubbo3\SentinelDubboProviderFilter.java","4","18","Unused import 'com.alibaba.csp.sentinel.*'","Code Style","UnnecessaryImport"
"1","com.alibaba.csp.sentinel","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo3-adapter\src\test\java\com\alibaba\csp\sentinel\DubboTestUtil.java","3","73","Consider simply returning the value vs storing it in local variable 'url'","Code Style","UnnecessaryLocalBeforeReturn"
"1","com.alibaba.csp.sentinel.adapter.dubbo3","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo3-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo3\DubboAppContextFilterTest.java","4","24","Unused import 'org.apache.dubbo.rpc.RpcContext'","Code Style","UnnecessaryImport"
"1","com.alibaba.csp.sentinel.adapter.dubbo3","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo3-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo3\SentinelDubboConsumerFilterTest.java","4","36","Unused import 'org.apache.dubbo.rpc.*'","Code Style","UnnecessaryImport"
"2","com.alibaba.csp.sentinel.adapter.dubbo3","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo3-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo3\SentinelDubboConsumerFilterTest.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.alibaba.csp.sentinel.adapter.dubbo3.fallback","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-dubbo3-adapter\src\test\java\com\alibaba\csp\sentinel\adapter\dubbo3\fallback\DubboFallbackRegistryTest.java","4","18","Unused import 'com.alibaba.csp.sentinel.DubboTestUtil'","Code Style","UnnecessaryImport"
"1","com.alibaba.csp.sentinel.adapter.apache.httpclient","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-httpclient-adapter\src\main\java\com\alibaba\csp\sentinel\adapter\apache\httpclient\SentinelApacheHttpClientBuilder.java","4","18","Unused import 'com.alibaba.csp.sentinel.*'","Code Style","UnnecessaryImport"
"1","com.alibaba.csp.sentinel.adapter.apache.httpclient.fallback","..\data\repositories\alibaba_Sentinel\sentinel-adapter\sentinel-apache-httpclient-adapter\src\main\java\com\alibaba\csp\sentinel\adapter\apache\httpclient\fallback\ApacheHttpClientFallback.java","4","19","Unused import 'org.apache.http.HttpException'","Code Style","UnnecessaryImport"
