"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSON.java","4","30","Unused import 'com.alibaba.fastjson.parser.*'","Code Style","UnnecessaryImport"
"2","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSON.java","4","35","Unused import 'com.alibaba.fastjson.serializer.*'","Code Style","UnnecessaryImport"
"3","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSON.java","3","65","Possible God Class (WMC=227, ATFD=62, TCC=5.788%)","Design","GodClass"
"4","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSON.java","3","65","The class 'JSON' has a total cyclomatic complexity of 227 (highest 22).","Design","CyclomaticComplexity"
"5","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSON.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"6","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSON.java","3","1028","Consider simply returning the value vs storing it in local variable 'len'","Code Style","UnnecessaryLocalBeforeReturn"
"7","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSON.java","3","1061","Consider simply returning the value vs storing it in local variable 'len'","Code Style","UnnecessaryLocalBeforeReturn"
"8","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSON.java","3","1127","The method 'toJSON(Object, SerializeConfig)' has a cyclomatic complexity of 22.","Design","CyclomaticComplexity"
"9","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSON.java","3","1304","The method 'isValid(String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONArray.java","4","32","Unused import 'java.io.IOException'","Code Style","UnnecessaryImport"
"2","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONArray.java","4","33","Unused import 'java.io.ObjectInputStream'","Code Style","UnnecessaryImport"
"3","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONArray.java","3","46","The class 'JSONArray' has a total cyclomatic complexity of 89 (highest 4).","Design","CyclomaticComplexity"
"4","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONArray.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONObject.java","4","33","Unused import 'java.lang.reflect.Field'","Code Style","UnnecessaryImport"
"2","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONObject.java","4","42","Unused import 'com.alibaba.fastjson.parser.Feature'","Code Style","UnnecessaryImport"
"3","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONObject.java","3","49","Possible God Class (WMC=124, ATFD=15, TCC=26.531%)","Design","GodClass"
"4","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONObject.java","3","49","The class 'JSONObject' has a total cyclomatic complexity of 124 (highest 28).","Design","CyclomaticComplexity"
"5","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONObject.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"6","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONObject.java","3","431","The method 'invoke(Object, Method, Object[])' has a cyclomatic complexity of 28.","Design","CyclomaticComplexity"
"1","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONPatch.java","3","16","The method 'apply(Object, String)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java","3","47","Possible God Class (WMC=432, ATFD=179, TCC=8.348%)","Design","GodClass"
"2","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java","3","47","The class 'JSONPath' has a total cyclomatic complexity of 432 (highest 41).","Design","CyclomaticComplexity"
"3","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java","3","148","The method 'extract(DefaultJSONParser)' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"5","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java","3","316","The method 'patchAdd(Object, Object, boolean)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"6","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java","3","383","The method 'arrayAdd(Object, Object[])' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"7","com.alibaba.fastjson","..\data\repositories\alibaba_fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java","3","449","The method 'remove(Object)' has a cyclomatic complexity of 28.","Design","CyclomaticComplexity"
