"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.dolphinscheduler.plugin.alert.email","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-alert\dolphinscheduler-alert-plugins\dolphinscheduler-alert-email\src\main\java\org\apache\dolphinscheduler\plugin\alert\email\ExcelUtils.java","3","55","The method 'genExcelFile(String, String, String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.dolphinscheduler.plugin.alert.email","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-alert\dolphinscheduler-alert-plugins\dolphinscheduler-alert-email\src\main\java\org\apache\dolphinscheduler\plugin\alert\email\MailSender.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.apache.dolphinscheduler.plugin.alert.email","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-alert\dolphinscheduler-alert-plugins\dolphinscheduler-alert-email\src\main\java\org\apache\dolphinscheduler\plugin\alert\email\MailSender.java","3","155","The method 'sendMails(List<String>, List<String>, String, String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.dolphinscheduler.plugin.alert.http","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-alert\dolphinscheduler-alert-plugins\dolphinscheduler-alert-http\src\main\java\org\apache\dolphinscheduler\plugin\alert\http\HttpSender.java","3","54","The method 'paramsValidator(Map<String, String>)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.dolphinscheduler.plugin.alert.wechat","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-alert\dolphinscheduler-alert-plugins\dolphinscheduler-alert-wechat\src\main\java\org\apache\dolphinscheduler\plugin\alert\wechat\WeChatSender.java","3","274","The method 'equals(Object)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.dolphinscheduler.alert","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-alert\dolphinscheduler-alert-server\src\main\java\org\apache\dolphinscheduler\alert\AlertServer.java","3","111","Empty try-with-resources statement. Rename the resource to `ignored`, `unused` or `_` (Java 22+).","Code Style","EmptyControlStatement"
"1","org.apache.dolphinscheduler.api.test.cases","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api-test\dolphinscheduler-api-test-case\src\test\java\org\apache\dolphinscheduler\api\test\cases\ProjectAPITest.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.dolphinscheduler.api.test.pages.project","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api-test\dolphinscheduler-api-test-case\src\test\java\org\apache\dolphinscheduler\api\test\pages\project\ProjectPage.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.dolphinscheduler.api.test.utils","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api-test\dolphinscheduler-api-test-case\src\test\java\org\apache\dolphinscheduler\api\test\utils\JSONUtils.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.dolphinscheduler.api.audit","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\audit\OperatorUtils.java","3","83","The method 'modifyReleaseOperationType(AuditType, Map<String, Object>)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.dolphinscheduler.api.controller","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\controller\BaseController.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.dolphinscheduler.api.controller","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\controller\DataSourceController.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.dolphinscheduler.api.controller","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\controller\ProjectController.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.dolphinscheduler.api.controller","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\controller\ResourcesController.java","3","90","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.dolphinscheduler.api.controller","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\controller\UsersController.java","3","74","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.dolphinscheduler.api.controller","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\controller\WorkflowDefinitionController.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.dolphinscheduler.api.controller","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\controller\WorkflowInstanceController.java","3","72","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.dolphinscheduler.api.controller.v2","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\controller\v2\ProjectV2Controller.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.dolphinscheduler.api.controller.v2","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\controller\v2\TaskInstanceV2Controller.java","3","192","Consider simply returning the value vs storing it in local variable 'taskInstance'","Code Style","UnnecessaryLocalBeforeReturn"
"1","org.apache.dolphinscheduler.api.dto.schedule","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\dto\schedule\ScheduleUpdateRequest.java","3","98","The method 'mergeIntoSchedule(Schedule)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.dolphinscheduler.api.dto.task","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\dto\task\TaskCreateRequest.java","3","38","Too many fields","Design","TooManyFields"
"1","org.apache.dolphinscheduler.api.dto.task","..\data\repositories\apache_dolphinscheduler\dolphinscheduler-api\src\main\java\org\apache\dolphinscheduler\api\dto\task\TaskUpdateRequest.java","3","43","Too many fields","Design","TooManyFields"
