"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.seata.common.exception","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\exception\ResourceBundleUtil.java","3","47","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.apache.seata.common.loader","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\loader\EnhancedServiceLoader.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.apache.seata.common.loader","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\loader\EnhancedServiceLoader.java","3","278","Possible God Class (WMC=89, ATFD=37, TCC=11.462%)","Design","GodClass"
"3","org.apache.seata.common.loader","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\loader\EnhancedServiceLoader.java","3","278","The class 'InnerEnhancedServiceLoader' has a total cyclomatic complexity of 89 (highest 16).","Design","CyclomaticComplexity"
"4","org.apache.seata.common.loader","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\loader\EnhancedServiceLoader.java","3","278","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"5","org.apache.seata.common.loader","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\loader\EnhancedServiceLoader.java","3","569","The method 'loadFile(String, Class, ClassLoader, List<ExtensionDefinition<S>>)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\BeanUtils.java","3","70","The method 'mapToObject(Map<String, String>, Class<?>)' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"1","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\CollectionUtils.java","3","327","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\ConfigTools.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\ConfigTools.java","3","37","Consider simply returning the value vs storing it in local variable 'keyPair'","Code Style","UnnecessaryLocalBeforeReturn"
"3","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\ConfigTools.java","3","60","Consider simply returning the value vs storing it in local variable 'publicKey'","Code Style","UnnecessaryLocalBeforeReturn"
"4","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\ConfigTools.java","3","69","Consider simply returning the value vs storing it in local variable 'privateKey'","Code Style","UnnecessaryLocalBeforeReturn"
"1","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\DurationUtil.java","3","37","The method 'parse(String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\IOUtil.java","3","42","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\IdWorker.java","3","133","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\LowerCaseLinkHashMap.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\NetUtil.java","3","42","Possible God Class (WMC=83, ATFD=37, TCC=1.429%)","Design","GodClass"
"2","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\NetUtil.java","3","42","The class 'NetUtil' has a total cyclomatic complexity of 83 (highest 16).","Design","CyclomaticComplexity"
"3","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\NetUtil.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\NetUtil.java","3","134","The method 'splitIPPortStr(String)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"5","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\NetUtil.java","3","236","The method 'getLocalAddress0(String[])' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\PageUtil.java","3","107","The method 'pageSql(String, String, int, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"2","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\PageUtil.java","3","139","The method 'countSql(String, String)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\ReflectionUtil.java","3","40","Possible God Class (WMC=108, ATFD=58, TCC=1.613%)","Design","GodClass"
"2","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\ReflectionUtil.java","3","40","The class 'ReflectionUtil' has a total cyclomatic complexity of 108 (highest 11).","Design","CyclomaticComplexity"
"3","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\ReflectionUtil.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\ReflectionUtil.java","3","115","The method 'getWrappedClass(Class<?>)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"5","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\ReflectionUtil.java","3","281","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"6","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\ReflectionUtil.java","3","334","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"7","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\ReflectionUtil.java","3","547","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.apache.seata.common.util","..\data\repositories\apache_incubator-seata\common\src\main\java\org\apache\seata\common\util\SizeUtil.java","3","32","The method 'size2Long(String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
