"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.rocketmq.auth.authentication.builder","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authentication\builder\DefaultAuthenticationContextBuilder.java","3","48","The method 'build(Metadata, GeneratedMessageV3)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"1","org.apache.rocketmq.auth.authentication.manager","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authentication\manager\AuthenticationMetadataManagerImpl.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.rocketmq.auth.authentication.strategy","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authentication\strategy\AbstractAuthenticationStrategy.java","3","50","The method 'doEvaluate(AuthenticationContext)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.rocketmq.auth.authorization.builder","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\builder\DefaultAuthorizationContextBuilder.java","3","79","Possible God Class (WMC=111, ATFD=83, TCC=0.000%)","Design","GodClass"
"2","org.apache.rocketmq.auth.authorization.builder","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\builder\DefaultAuthorizationContextBuilder.java","3","79","The class 'DefaultAuthorizationContextBuilder' has a total cyclomatic complexity of 111 (highest 43).","Design","CyclomaticComplexity"
"3","org.apache.rocketmq.auth.authorization.builder","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\builder\DefaultAuthorizationContextBuilder.java","3","79","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","org.apache.rocketmq.auth.authorization.builder","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\builder\DefaultAuthorizationContextBuilder.java","3","96","The method 'build(Metadata, GeneratedMessageV3)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"5","org.apache.rocketmq.auth.authorization.builder","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\builder\DefaultAuthorizationContextBuilder.java","3","167","The method 'build(ChannelHandlerContext, RemotingCommand)' has a cyclomatic complexity of 43.","Design","CyclomaticComplexity"
"6","org.apache.rocketmq.auth.authorization.builder","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\builder\DefaultAuthorizationContextBuilder.java","3","340","The method 'buildContextByAnnotation(Subject, RemotingCommand, String)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"7","org.apache.rocketmq.auth.authorization.builder","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\builder\DefaultAuthorizationContextBuilder.java","3","477","The method 'newSubContexts(Metadata, ResourceType, Resource)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.rocketmq.auth.authorization.chain","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\chain\AclAuthorizationHandler.java","3","121","The method 'comparePolicyEntries(PolicyEntry, PolicyEntry)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.apache.rocketmq.auth.authorization.manager","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\manager\AuthorizationMetadataManagerImpl.java","3","42","Possible God Class (WMC=58, ATFD=35, TCC=3.297%)","Design","GodClass"
"2","org.apache.rocketmq.auth.authorization.manager","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\manager\AuthorizationMetadataManagerImpl.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.apache.rocketmq.auth.authorization.manager","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\manager\AuthorizationMetadataManagerImpl.java","3","231","The method 'validate(PolicyEntry)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"1","org.apache.rocketmq.auth.authorization.provider","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\provider\LocalAuthorizationMetadataProvider.java","3","127","The method 'listAcl(String, String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.rocketmq.auth.authorization.strategy","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\authorization\strategy\AbstractAuthorizationStrategy.java","3","50","The method 'doEvaluate(AuthorizationContext)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.rocketmq.auth.config","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\config\AuthConfig.java","3","19","Too many fields","Design","TooManyFields"
"1","org.apache.rocketmq.auth.migration","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\migration\AuthMigrator.java","3","115","The method 'createAcl(PlainAccessConfig)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","org.apache.rocketmq.auth.migration.v1","..\data\repositories\apache_rocketmq\auth\src\main\java\org\apache\rocketmq\auth\migration\v1\PlainPermissionManager.java","3","100","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.apache.rocketmq.auth.authorization","..\data\repositories\apache_rocketmq\auth\src\test\java\org\apache\rocketmq\auth\authorization\AuthorizationEvaluatorTest.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.rocketmq.auth.helper","..\data\repositories\apache_rocketmq\auth\src\test\java\org\apache\rocketmq\auth\helper\AuthTestHelper.java","3","45","Possible God Class (WMC=69, ATFD=48, TCC=0.000%)","Design","GodClass"
"2","org.apache.rocketmq.auth.helper","..\data\repositories\apache_rocketmq\auth\src\test\java\org\apache\rocketmq\auth\helper\AuthTestHelper.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.apache.rocketmq.auth.helper","..\data\repositories\apache_rocketmq\auth\src\test\java\org\apache\rocketmq\auth\helper\AuthTestHelper.java","3","91","The method 'isEquals(Acl, Acl)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"4","org.apache.rocketmq.auth.helper","..\data\repositories\apache_rocketmq\auth\src\test\java\org\apache\rocketmq\auth\helper\AuthTestHelper.java","3","139","The method 'isEquals(Policy, Policy)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"5","org.apache.rocketmq.auth.helper","..\data\repositories\apache_rocketmq\auth\src\test\java\org\apache\rocketmq\auth\helper\AuthTestHelper.java","3","180","The method 'isEquals(PolicyEntry, PolicyEntry)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.rocketmq.broker","..\data\repositories\apache_rocketmq\broker\src\main\java\org\apache\rocketmq\broker\BrokerController.java","3","183","Possible God Class (WMC=402, ATFD=288, TCC=7.232%)","Design","GodClass"
"2","org.apache.rocketmq.broker","..\data\repositories\apache_rocketmq\broker\src\main\java\org\apache\rocketmq\broker\BrokerController.java","3","183","The class 'BrokerController' has a total cyclomatic complexity of 402 (highest 54).","Design","CyclomaticComplexity"
"3","org.apache.rocketmq.broker","..\data\repositories\apache_rocketmq\broker\src\main\java\org\apache\rocketmq\broker\BrokerController.java","3","183","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","org.apache.rocketmq.broker","..\data\repositories\apache_rocketmq\broker\src\main\java\org\apache\rocketmq\broker\BrokerController.java","3","183","Too many fields","Design","TooManyFields"
"5","org.apache.rocketmq.broker","..\data\repositories\apache_rocketmq\broker\src\main\java\org\apache\rocketmq\broker\BrokerController.java","3","332","The constructor 'BrokerController(BrokerConfig, NettyServerConfig, NettyClientConfig, MessageStoreConfig, AuthConfig)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"6","org.apache.rocketmq.broker","..\data\repositories\apache_rocketmq\broker\src\main\java\org\apache\rocketmq\broker\BrokerController.java","3","1395","The method 'shutdownBasicService()' has a cyclomatic complexity of 54.","Design","CyclomaticComplexity"
"7","org.apache.rocketmq.broker","..\data\repositories\apache_rocketmq\broker\src\main\java\org\apache\rocketmq\broker\BrokerController.java","3","1654","The method 'startBasicService()' has a cyclomatic complexity of 30.","Design","CyclomaticComplexity"
"8","org.apache.rocketmq.broker","..\data\repositories\apache_rocketmq\broker\src\main\java\org\apache\rocketmq\broker\BrokerController.java","3","1765","The method 'start()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.rocketmq.broker","..\data\repositories\apache_rocketmq\broker\src\main\java\org\apache\rocketmq\broker\BrokerPreOnlineService.java","3","152","The method 'syncMetadataReverse(String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.rocketmq.broker","..\data\repositories\apache_rocketmq\broker\src\main\java\org\apache\rocketmq\broker\BrokerStartup.java","3","84","The method 'buildBrokerController(String[])' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
