"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.skywalking.oap.server.network.trace.component.command","..\data\repositories\apache_skywalking\apm-protocol\apm-network\src\main\java\org\apache\skywalking\oap\server\network\trace\component\command\ProfileTaskCommand.java","3","54","The method 'deserialize(Command)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.skywalking.oap.server.analyzer.provider","..\data\repositories\apache_skywalking\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\AnalyzerModuleConfig.java","3","41","Too many fields","Design","TooManyFields"
"1","org.apache.skywalking.oap.server.analyzer.provider.trace","..\data\repositories\apache_skywalking\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\TraceSamplingPolicyWatcher.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.skywalking.oap.server.analyzer.provider.trace.parser.listener","..\data\repositories\apache_skywalking\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\parser\listener\RPCAnalysisListener.java","3","85","The method 'parseEntry(SpanObject, SegmentObject)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"2","org.apache.skywalking.oap.server.analyzer.provider.trace.parser.listener","..\data\repositories\apache_skywalking\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\parser\listener\RPCAnalysisListener.java","3","345","The method 'identifyRemoteServiceLayer(SpanLayer, String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.skywalking.oap.server.analyzer.provider.trace.parser.listener","..\data\repositories\apache_skywalking\oap-server\analyzer\agent-analyzer\src\main\java\org\apache\skywalking\oap\server\analyzer\provider\trace\parser\listener\SegmentAnalysisListener.java","1","197","The enum name 'SAMPLE_STATUS' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"1","org.apache.skywalking.oap.server.analyzer.provider.trace","..\data\repositories\apache_skywalking\oap-server\analyzer\agent-analyzer\src\test\java\org\apache\skywalking\oap\server\analyzer\provider\trace\TraceSamplingPolicyWatcherTest.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.skywalking.oap.log.analyzer.dsl","..\data\repositories\apache_skywalking\oap-server\analyzer\log-analyzer\src\main\java\org\apache\skywalking\oap\log\analyzer\dsl\Binding.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.skywalking.oap.log.analyzer.dsl.spec.extractor","..\data\repositories\apache_skywalking\oap-server\analyzer\log-analyzer\src\main\java\org\apache\skywalking\oap\log\analyzer\dsl\spec\extractor\ExtractorSpec.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.apache.skywalking.oap.log.analyzer.dsl.spec.extractor","..\data\repositories\apache_skywalking\oap-server\analyzer\log-analyzer\src\main\java\org\apache\skywalking\oap\log\analyzer\dsl\spec\extractor\ExtractorSpec.java","3","228","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.apache.skywalking.oap.log.analyzer.provider.log.listener","..\data\repositories\apache_skywalking\oap-server\analyzer\log-analyzer\src\main\java\org\apache\skywalking\oap\log\analyzer\provider\log\listener\RecordSinkListener.java","3","73","The method 'parse(Builder, Message)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.skywalking.oap.meter.analyzer","..\data\repositories\apache_skywalking\oap-server\analyzer\meter-analyzer\src\main\java\org\apache\skywalking\oap\meter\analyzer\Analyzer.java","3","79","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.skywalking.oap.meter.analyzer.dsl","..\data\repositories\apache_skywalking\oap-server\analyzer\meter-analyzer\src\main\java\org\apache\skywalking\oap\meter\analyzer\dsl\SampleFamily.java","3","80","Possible God Class (WMC=98, ATFD=98, TCC=31.936%)","Design","GodClass"
"2","org.apache.skywalking.oap.meter.analyzer.dsl","..\data\repositories\apache_skywalking\oap-server\analyzer\meter-analyzer\src\main\java\org\apache\skywalking\oap\meter\analyzer\dsl\SampleFamily.java","3","80","The class 'SampleFamily' has a total cyclomatic complexity of 98 (highest 5).","Design","CyclomaticComplexity"
"3","org.apache.skywalking.oap.meter.analyzer.dsl","..\data\repositories\apache_skywalking\oap-server\analyzer\meter-analyzer\src\main\java\org\apache\skywalking\oap\meter\analyzer\dsl\SampleFamily.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","org.apache.skywalking.oap.meter.analyzer.dsl","..\data\repositories\apache_skywalking\oap-server\analyzer\meter-analyzer\src\main\java\org\apache\skywalking\oap\meter\analyzer\dsl\SampleFamily.java","3","292","Consider simply returning the value vs storing it in local variable 'sampleFamily'","Code Style","UnnecessaryLocalBeforeReturn"
"5","org.apache.skywalking.oap.meter.analyzer.dsl","..\data\repositories\apache_skywalking\oap-server\analyzer\meter-analyzer\src\main\java\org\apache\skywalking\oap\meter\analyzer\dsl\SampleFamily.java","3","763","Consider simply returning the value vs storing it in local variable 'name'","Code Style","UnnecessaryLocalBeforeReturn"
"6","org.apache.skywalking.oap.meter.analyzer.dsl","..\data\repositories\apache_skywalking\oap-server\analyzer\meter-analyzer\src\main\java\org\apache\skywalking\oap\meter\analyzer\dsl\SampleFamily.java","3","770","The method 'buildMeterEntity(List<Sample>, EntityDescription)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.skywalking.oap.server.exporter.provider.grpc","..\data\repositories\apache_skywalking\oap-server\exporter\src\main\java\org\apache\skywalking\oap\server\exporter\provider\grpc\GRPCMetricsExporter.java","3","227","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.apache.skywalking.oap.server.exporter.provider.kafka.log","..\data\repositories\apache_skywalking\oap-server\exporter\src\main\java\org\apache\skywalking\oap\server\exporter\provider\kafka\log\KafkaLogExporter.java","3","128","The method 'transLogData(LogRecord)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.apache.skywalking.oap.server.microbench.library.datacarrier","..\data\repositories\apache_skywalking\oap-server\microbench\src\main\java\org\apache\skywalking\oap\server\microbench\library\datacarrier\LinkedArrayBenchmark.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.skywalking.oap.server.microbench.library.datacarrier.common","..\data\repositories\apache_skywalking\oap-server\microbench\src\main\java\org\apache\skywalking\oap\server\microbench\library\datacarrier\common\AtomicRangeIntegerBenchmark.java","1","27","The class name 'AtomicRangeIntegerBenchmark' doesn't match '^Test.*$|^[A-Z][a-zA-Z0-9]*Test(s|Case)?$'","Code Style","ClassNamingConventions"
"1","org.apache.skywalking.oap.server.microbench.library.util","..\data\repositories\apache_skywalking\oap-server\microbench\src\main\java\org\apache\skywalking\oap\server\microbench\library\util\StringFormatGroupBenchmark.java","1","34","The class name 'StringFormatGroupBenchmark' doesn't match '^Test.*$|^[A-Z][a-zA-Z0-9]*Test(s|Case)?$'","Code Style","ClassNamingConventions"
"1","org.apache.skywalking.mqe.rt","..\data\repositories\apache_skywalking\oap-server\mqe-rt\src\main\java\org\apache\skywalking\mqe\rt\MQEVisitorBase.java","3","65","Possible God Class (WMC=105, ATFD=142, TCC=0.794%)","Design","GodClass"
"2","org.apache.skywalking.mqe.rt","..\data\repositories\apache_skywalking\oap-server\mqe-rt\src\main\java\org\apache\skywalking\mqe\rt\MQEVisitorBase.java","3","65","The class 'MQEVisitorBase' has a total cyclomatic complexity of 105 (highest 9).","Design","CyclomaticComplexity"
"3","org.apache.skywalking.mqe.rt","..\data\repositories\apache_skywalking\oap-server\mqe-rt\src\main\java\org\apache\skywalking\mqe\rt\MQEVisitorBase.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.skywalking.mqe.rt.operation","..\data\repositories\apache_skywalking\oap-server\mqe-rt\src\main\java\org\apache\skywalking\mqe\rt\operation\AggregationOp.java","3","37","The method 'doAggregationOp(ExpressionResult, int)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.apache.skywalking.mqe.rt.operation","..\data\repositories\apache_skywalking\oap-server\mqe-rt\src\main\java\org\apache\skywalking\mqe\rt\operation\BoolOp.java","3","47","The method 'boolOp(double, double, int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.apache.skywalking.mqe.rt.operation","..\data\repositories\apache_skywalking\oap-server\mqe-rt\src\main\java\org\apache\skywalking\mqe\rt\operation\LROp.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.apache.skywalking.mqe.rt.operation","..\data\repositories\apache_skywalking\oap-server\mqe-rt\src\main\java\org\apache\skywalking\mqe\rt\operation\LROp.java","3","38","The method 'doLROp(ExpressionResult, ExpressionResult, int, LROp)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.skywalking.mqe.rt","..\data\repositories\apache_skywalking\oap-server\mqe-rt\src\test\java\org\apache\skywalking\mqe\rt\MockData.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.apache.skywalking.oal.rt.parser","..\data\repositories\apache_skywalking\oap-server\oal-rt\src\main\java\org\apache\skywalking\oal\rt\parser\AnalysisResult.java","3","102","The method 'generateSerializeFields()' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.apache.skywalking.oal.rt.parser","..\data\repositories\apache_skywalking\oap-server\oal-rt\src\main\java\org\apache\skywalking\oal\rt\parser\DeepAnalysis.java","3","38","The method 'analysis(AnalysisResult)' has a cyclomatic complexity of 28.","Design","CyclomaticComplexity"
"1","org.apache.skywalking.oal.rt.parser","..\data\repositories\apache_skywalking\oap-server\oal-rt\src\main\java\org\apache\skywalking\oal\rt\parser\FilterMatchers.java","3","46","The method 'init()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
