"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisConfiguration.java","3","58","Possible God Class (WMC=59, ATFD=25, TCC=14.103%)","Design","GodClass"
"2","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisConfiguration.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperAnnotationBuilder.java","4","23","Unused import 'org.apache.ibatis.annotations.*'","Code Style","UnnecessaryImport"
"2","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperAnnotationBuilder.java","4","38","Unused import 'org.apache.ibatis.mapping.*'","Code Style","UnnecessaryImport"
"3","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperAnnotationBuilder.java","3","68","Possible God Class (WMC=145, ATFD=68, TCC=32.688%)","Design","GodClass"
"4","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperAnnotationBuilder.java","3","68","The class 'MybatisMapperAnnotationBuilder' has a total cyclomatic complexity of 145 (highest 24).","Design","CyclomaticComplexity"
"5","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperAnnotationBuilder.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"6","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperAnnotationBuilder.java","3","147","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"7","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperAnnotationBuilder.java","3","180","The method 'parseCacheRef()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"8","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperAnnotationBuilder.java","3","374","The method 'getReturnType(Method, Class<?>)' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"9","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperAnnotationBuilder.java","3","636","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"10","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperAnnotationBuilder.java","3","648","The constructor 'AnnotationWrapper(Annotation)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperBuilderAssistant.java","4","27","Unused import 'org.apache.ibatis.type.UnknownTypeHandler'","Code Style","UnnecessaryImport"
"2","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisMapperBuilderAssistant.java","3","122","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisSqlSessionFactoryBuilder.java","3","56","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisSqlSessionFactoryBuilder.java","3","74","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisXMLConfigBuilder.java","4","39","Unused import 'org.apache.ibatis.session.*'","Code Style","UnnecessaryImport"
"2","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisXMLConfigBuilder.java","3","54","Possible God Class (WMC=93, ATFD=77, TCC=1.053%)","Design","GodClass"
"3","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisXMLConfigBuilder.java","3","54","The class 'MybatisXMLConfigBuilder' has a total cyclomatic complexity of 93 (highest 14).","Design","CyclomaticComplexity"
"4","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisXMLConfigBuilder.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"5","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisXMLConfigBuilder.java","3","388","The method 'mappersElement(XNode)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.baomidou.mybatisplus.core","..\data\repositories\baomidou_mybatis-plus\mybatis-plus-core\src\main\java\com\baomidou\mybatisplus\core\MybatisXMLMapperBuilder.java","3","58","Possible God Class (WMC=77, ATFD=30, TCC=23.333%)","Design","GodClass"
