"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.zaxxer.hikari","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\HikariConfig.java","3","45","Possible God Class (WMC=204, ATFD=29, TCC=3.528%)","Design","GodClass"
"2","com.zaxxer.hikari","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\HikariConfig.java","3","45","The class 'HikariConfig' has a total cyclomatic complexity of 204 (highest 26).","Design","CyclomaticComplexity"
"3","com.zaxxer.hikari","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\HikariConfig.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.zaxxer.hikari","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\HikariConfig.java","3","46","Too many fields","Design","TooManyFields"
"5","com.zaxxer.hikari","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\HikariConfig.java","3","1038","The method 'validate()' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"6","com.zaxxer.hikari","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\HikariConfig.java","3","1075","Empty if statement","Code Style","EmptyControlStatement"
"7","com.zaxxer.hikari","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\HikariConfig.java","3","1094","The method 'validateNumerics()' has a cyclomatic complexity of 26.","Design","CyclomaticComplexity"
"8","com.zaxxer.hikari","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\HikariConfig.java","3","1152","The method 'logConfiguration()' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"9","com.zaxxer.hikari","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\HikariConfig.java","3","1188","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.zaxxer.hikari","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\HikariDataSource.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.zaxxer.hikari","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\HikariDataSource.java","3","92","The method 'getConnection()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.zaxxer.hikari.metrics.prometheus","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\metrics\prometheus\PrometheusHistogramMetricsTracker.java","4","26","Unused static import 'com.zaxxer.hikari.metrics.prometheus.PrometheusMetricsTrackerFactory.*'","Code Style","UnnecessaryImport"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\pool\HikariPool.java","3","56","Possible God Class (WMC=100, ATFD=72, TCC=26.108%)","Design","GodClass"
"2","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\pool\HikariPool.java","3","56","The class 'HikariPool' has a total cyclomatic complexity of 100 (highest 12).","Design","CyclomaticComplexity"
"3","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\pool\HikariPool.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\pool\HikariPool.java","3","156","The method 'getConnection(long)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"5","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\main\java\com\zaxxer\hikari\pool\HikariPool.java","3","274","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
