"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.netflix.conductor.contribs.queue.amqp","..\data\repositories\conductor-oss_conductor\amqp\src\main\java\com\netflix\conductor\contribs\queue\amqp\AMQPConnection.java","3","83","The method 'createConnection(String)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"2","com.netflix.conductor.contribs.queue.amqp","..\data\repositories\conductor-oss_conductor\amqp\src\main\java\com\netflix\conductor\contribs\queue\amqp\AMQPConnection.java","3","172","The method 'getOrCreateChannel(ConnectionType, String)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","com.netflix.conductor.contribs.queue.amqp","..\data\repositories\conductor-oss_conductor\amqp\src\main\java\com\netflix\conductor\contribs\queue\amqp\AMQPConnection.java","3","209","The method 'getOrCreateChannel(ConnectionType, Connection)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","com.netflix.conductor.contribs.queue.amqp","..\data\repositories\conductor-oss_conductor\amqp\src\main\java\com\netflix\conductor\contribs\queue\amqp\AMQPObservableQueue.java","3","56","The class 'AMQPObservableQueue' has a total cyclomatic complexity of 96 (highest 12).","Design","CyclomaticComplexity"
"2","com.netflix.conductor.contribs.queue.amqp","..\data\repositories\conductor-oss_conductor\amqp\src\main\java\com\netflix\conductor\contribs\queue\amqp\AMQPObservableQueue.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.netflix.conductor.contribs.queue.amqp","..\data\repositories\conductor-oss_conductor\amqp\src\main\java\com\netflix\conductor\contribs\queue\amqp\AMQPObservableQueue.java","3","71","The constructor 'AMQPObservableQueue(ConnectionFactory, Address[], boolean, AMQPSettings, AMQPRetryPattern, int, int)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"4","com.netflix.conductor.contribs.queue.amqp","..\data\repositories\conductor-oss_conductor\amqp\src\main\java\com\netflix\conductor\contribs\queue\amqp\AMQPObservableQueue.java","3","459","The method 'buildConnectionFactory()' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.netflix.conductor.contribs.queue.amqp.config","..\data\repositories\conductor-oss_conductor\amqp\src\main\java\com\netflix\conductor\contribs\queue\amqp\config\AMQPEventQueueConfiguration.java","1","35","The enum name 'QUEUE_TYPE' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"1","com.netflix.conductor.contribs.queue.amqp.config","..\data\repositories\conductor-oss_conductor\amqp\src\main\java\com\netflix\conductor\contribs\queue\amqp\config\AMQPEventQueueProperties.java","3","25","Too many fields","Design","TooManyFields"
"1","com.netflix.conductor.contribs.queue.amqp","..\data\repositories\conductor-oss_conductor\amqp\src\test\java\com\netflix\conductor\contribs\queue\amqp\AMQPObservableQueueTest.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.netflix.conductor.s3.storage","..\data\repositories\conductor-oss_conductor\awss3-storage\src\main\java\com\netflix\conductor\s3\storage\S3PayloadStorage.java","4","33","Unused import 'com.amazonaws.services.s3.model.*'","Code Style","UnnecessaryImport"
"1","com.netflix.conductor.sqs.eventqueue","..\data\repositories\conductor-oss_conductor\awssqs-event-queue\src\main\java\com\netflix\conductor\sqs\eventqueue\SQSObservableQueue.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
