"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.cryptomator.common","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\CatchingExecutors.java","3","101","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.cryptomator.common","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\EventMap.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.common","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\LicenseHolder.java","4","8","Unused import 'javafx.beans.binding.Bindings'","Code Style","UnnecessaryImport"
"2","org.cryptomator.common","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\LicenseHolder.java","4","10","Unused import 'javafx.beans.binding.StringBinding'","Code Style","UnnecessaryImport"
"1","org.cryptomator.common","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\ObservableUtil.java","4","5","Unused import 'java.util.Objects'","Code Style","UnnecessaryImport"
"1","org.cryptomator.common","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\PropertiesDecorator.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.common.keychain","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\keychain\KeychainManager.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.common.locationpresets","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\locationpresets\GoogleDriveMacLocationPresetsProvider.java","4","10","Unused import 'java.util.Arrays'","Code Style","UnnecessaryImport"
"2","org.cryptomator.common.locationpresets","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\locationpresets\GoogleDriveMacLocationPresetsProvider.java","4","11","Unused import 'java.util.HashSet'","Code Style","UnnecessaryImport"
"3","org.cryptomator.common.locationpresets","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\locationpresets\GoogleDriveMacLocationPresetsProvider.java","4","17","Unused import 'java.util.stream.StreamSupport'","Code Style","UnnecessaryImport"
"1","org.cryptomator.common.mount","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\mount\MountWithinParentUtil.java","3","24","The method 'prepareParentNoMountPoint(Path)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.cryptomator.common.mount","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\mount\Mounter.java","3","75","The method 'prepare()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"2","org.cryptomator.common.mount","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\mount\Mounter.java","3","104","The method 'prepareMountPoint()' has a cyclomatic complexity of 19.","Design","CyclomaticComplexity"
"3","org.cryptomator.common.mount","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\mount\Mounter.java","3","114","Empty if statement","Code Style","EmptyControlStatement"
"1","org.cryptomator.common.settings","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\settings\SettingsJson.java","3","13","Too many fields","Design","TooManyFields"
"1","org.cryptomator.common.settings","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\settings\VaultSettingsJson.java","3","10","Too many fields","Design","TooManyFields"
"1","org.cryptomator.common.vaults","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\vaults\Vault.java","4","26","Unused import 'org.cryptomator.event.VaultEvent'","Code Style","UnnecessaryImport"
"2","org.cryptomator.common.vaults","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\vaults\Vault.java","4","38","Unused import 'javafx.application.Platform'","Code Style","UnnecessaryImport"
"3","org.cryptomator.common.vaults","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\vaults\Vault.java","3","58","Possible God Class (WMC=81, ATFD=15, TCC=14.242%)","Design","GodClass"
"4","org.cryptomator.common.vaults","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\vaults\Vault.java","3","58","The class 'Vault' has a total cyclomatic complexity of 81 (highest 8).","Design","CyclomaticComplexity"
"5","org.cryptomator.common.vaults","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\vaults\Vault.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.common.vaults","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\vaults\VaultListChangeListener.java","4","8","Unused import 'java.util.stream.Collectors'","Code Style","UnnecessaryImport"
"1","org.cryptomator.common.vaults","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\common\vaults\VaultStats.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.event","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\event\VaultEvent.java","4","6","Unused import 'java.time.Instant'","Code Style","UnnecessaryImport"
"1","org.cryptomator.ipc","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ipc\Client.java","4","9","Unused import 'java.nio.file.Files'","Code Style","UnnecessaryImport"
"2","org.cryptomator.ipc","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ipc\Client.java","4","11","Unused import 'java.nio.file.attribute.BasicFileAttributes'","Code Style","UnnecessaryImport"
"1","org.cryptomator.ipc","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ipc\IpcCommunicator.java","4","16","Unused import 'java.util.concurrent.Future'","Code Style","UnnecessaryImport"
"2","org.cryptomator.ipc","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ipc\IpcCommunicator.java","3","41","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.cryptomator.ipc","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ipc\Server.java","3","64","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.cryptomator.networking","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\networking\CombinedKeyStoreSpi.java","3","20","Possible God Class (WMC=49, ATFD=19, TCC=23.529%)","Design","GodClass"
"2","org.cryptomator.networking","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\networking\CombinedKeyStoreSpi.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.addvaultwizard","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\addvaultwizard\AddVaultModule.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.addvaultwizard","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\addvaultwizard\CreateNewVaultLocationController.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.controls","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\controls\FontAwesome5Spinner.java","4","7","Unused import 'javafx.beans.property.ObjectProperty'","Code Style","UnnecessaryImport"
"1","org.cryptomator.ui.controls","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\controls\SecurePasswordField.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.convertvault","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\convertvault\ConvertVaultModule.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.error","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\error\ErrorController.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.eventview","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\eventview\EventListCellController.java","3","50","Possible God Class (WMC=49, ATFD=67, TCC=15.121%)","Design","GodClass"
