"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.jkiss.dbeaver.ai.copilot.ui","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.ai.copilot.ui\src\org\jkiss\dbeaver\ai\copilot\ui\CopilotConfigurator.java","4","29","Unused import 'org.eclipse.swt.widgets.*'","Code Style","UnnecessaryImport"
"1","org.jkiss.dbeaver.tools.compare.simple.ui","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.cmp.simple.ui\src\org\jkiss\dbeaver\tools\compare\simple\ui\CompareObjectsHandler.java","3","42","The method 'execute(ExecutionEvent)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.jkiss.dbeaver.tools.compare.simple.ui","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.cmp.simple.ui\src\org\jkiss\dbeaver\tools\compare\simple\ui\CompareObjectsPageOutput.java","4","26","Unused import 'org.eclipse.swt.widgets.*'","Code Style","UnnecessaryImport"
"1","org.jkiss.dbeaver.tools.compare.simple.ui","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.cmp.simple.ui\src\org\jkiss\dbeaver\tools\compare\simple\ui\CompareObjectsPageSettings.java","4","24","Unused import 'org.eclipse.swt.widgets.*'","Code Style","UnnecessaryImport"
"1","org.jkiss.dbeaver.tools.compare.simple","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareObjectsExecutor.java","4","35","Unused import 'org.jkiss.dbeaver.runtime.properties.*'","Code Style","UnnecessaryImport"
"2","org.jkiss.dbeaver.tools.compare.simple","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareObjectsExecutor.java","3","39","Possible God Class (WMC=72, ATFD=31, TCC=15.556%)","Design","GodClass"
"3","org.jkiss.dbeaver.tools.compare.simple","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareObjectsExecutor.java","3","188","The method 'compareProperties(DBRProgressMonitor, List<DBNDatabaseNode>)' has a cyclomatic complexity of 26.","Design","CyclomaticComplexity"
"4","org.jkiss.dbeaver.tools.compare.simple","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareObjectsExecutor.java","3","291","The method 'compareChildren(DBRProgressMonitor, List<DBNDatabaseNode>)' has a cyclomatic complexity of 21.","Design","CyclomaticComplexity"
"5","org.jkiss.dbeaver.tools.compare.simple","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareObjectsExecutor.java","3","347","Empty if statement","Code Style","EmptyControlStatement"
"1","org.jkiss.dbeaver.tools.compare.simple","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.cmp.simple\src\org\jkiss\dbeaver\tools\compare\simple\CompareReportRenderer.java","3","127","The method 'renderBody(DBRProgressMonitor)' has a cyclomatic complexity of 25.","Design","CyclomaticComplexity"
"1","org.jkiss.awt.injector","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\awt.injector.lib\src\main\java\org\jkiss\awt\injector\BrowsePeerProxy.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.jkiss.dbeaver.core","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\core\DesktopPlatform.java","4","31","Unused import 'org.jkiss.dbeaver.model.app.*'","Code Style","UnnecessaryImport"
"2","org.jkiss.dbeaver.core","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\core\DesktopPlatform.java","3","69","Possible God Class (WMC=56, ATFD=26, TCC=7.619%)","Design","GodClass"
"3","org.jkiss.dbeaver.core","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\core\DesktopPlatform.java","3","160","The method 'dispose()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"4","org.jkiss.dbeaver.core","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\core\DesktopPlatform.java","3","341","The method 'getTempFolder(DBRProgressMonitor, String)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","org.jkiss.dbeaver.core","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\core\DesktopUI.java","4","45","Unused import 'org.jkiss.dbeaver.model.*'","Code Style","UnnecessaryImport"
"2","org.jkiss.dbeaver.core","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\core\DesktopUI.java","4","52","Unused import 'org.jkiss.dbeaver.model.runtime.*'","Code Style","UnnecessaryImport"
"3","org.jkiss.dbeaver.core","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\core\DesktopUI.java","4","59","Unused import 'org.jkiss.dbeaver.ui.*'","Code Style","UnnecessaryImport"
"4","org.jkiss.dbeaver.core","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\core\DesktopUI.java","4","61","Unused import 'org.jkiss.dbeaver.ui.dialogs.*'","Code Style","UnnecessaryImport"
"5","org.jkiss.dbeaver.core","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\core\DesktopUI.java","3","87","Possible God Class (WMC=96, ATFD=95, TCC=0.897%)","Design","GodClass"
"6","org.jkiss.dbeaver.core","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\core\DesktopUI.java","3","87","The class 'DesktopUI' has a total cyclomatic complexity of 96 (highest 13).","Design","CyclomaticComplexity"
"7","org.jkiss.dbeaver.core","..\data\repositories\dbeaver_dbeaver\plugins\org.jkiss.dbeaver.core\src\org\jkiss\dbeaver\core\DesktopUI.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
