"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","cn.dev33.satoken","..\data\repositories\dromara_Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\SaManager.java","3","54","Possible God Class (WMC=62, ATFD=10, TCC=3.704%)","Design","GodClass"
"2","cn.dev33.satoken","..\data\repositories\dromara_Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\SaManager.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cn.dev33.satoken.annotation.handler","..\data\repositories\dromara_Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\annotation\handler\SaCheckOrHandler.java","4","18","Unused import 'cn.dev33.satoken.annotation.*'","Code Style","UnnecessaryImport"
"1","cn.dev33.satoken.application","..\data\repositories\dromara_Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\application\SaSetValueInterface.java","4","18","Unused import 'cn.dev33.satoken.fun.SaRetFunction'","Code Style","UnnecessaryImport"
"1","cn.dev33.satoken.config","..\data\repositories\dromara_Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\config\SaTokenConfig.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","cn.dev33.satoken.config","..\data\repositories\dromara_Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\config\SaTokenConfig.java","3","36","Too many fields","Design","TooManyFields"
"1","cn.dev33.satoken.context.model","..\data\repositories\dromara_Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\context\model\SaCookie.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","cn.dev33.satoken.context.model","..\data\repositories\dromara_Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\context\model\SaCookie.java","3","318","The method 'toHeaderValue()' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","cn.dev33.satoken.dao","..\data\repositories\dromara_Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\dao\SaTokenDao.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cn.dev33.satoken.dao.timedcache","..\data\repositories\dromara_Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\dao\timedcache\SaTimedCache.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cn.dev33.satoken.httpauth.digest","..\data\repositories\dromara_Sa-Token\sa-token-core\src\main\java\cn\dev33\satoken\httpauth\digest\SaHttpDigestModel.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
