"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","me.zhengjie.config","..\data\repositories\elunez_eladmin\eladmin-common\src\main\java\me\zhengjie\config\RemoveDruidAdConfig.java","4","13","Unused import 'javax.servlet.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.utils","..\data\repositories\elunez_eladmin\eladmin-common\src\main\java\me\zhengjie\utils\AnonTagUtils.java","3","40","The method 'getAnonymousUrl(ApplicationContext)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","me.zhengjie.utils","..\data\repositories\elunez_eladmin\eladmin-common\src\main\java\me\zhengjie\utils\CloseUtil.java","3","32","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","me.zhengjie.utils","..\data\repositories\elunez_eladmin\eladmin-common\src\main\java\me\zhengjie\utils\CloseUtil.java","3","42","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","me.zhengjie.utils","..\data\repositories\elunez_eladmin\eladmin-common\src\main\java\me\zhengjie\utils\DateUtil.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","me.zhengjie.utils","..\data\repositories\elunez_eladmin\eladmin-common\src\main\java\me\zhengjie\utils\FileUtil.java","3","46","Possible God Class (WMC=50, ATFD=27, TCC=2.500%)","Design","GodClass"
"2","me.zhengjie.utils","..\data\repositories\elunez_eladmin\eladmin-common\src\main\java\me\zhengjie\utils\FileUtil.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","me.zhengjie.utils","..\data\repositories\elunez_eladmin\eladmin-common\src\main\java\me\zhengjie\utils\QueryHelp.java","4","24","Unused import 'javax.persistence.criteria.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.utils","..\data\repositories\elunez_eladmin\eladmin-common\src\main\java\me\zhengjie\utils\RedisUtils.java","4","25","Unused import 'org.springframework.data.redis.core.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.utils","..\data\repositories\elunez_eladmin\eladmin-common\src\main\java\me\zhengjie\utils\StringUtils.java","3","134","The method 'getIp(HttpServletRequest)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","me.zhengjie.domain","..\data\repositories\elunez_eladmin\eladmin-generator\src\main\java\me\zhengjie\domain\ColumnInfo.java","4","23","Unused import 'javax.persistence.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.domain","..\data\repositories\elunez_eladmin\eladmin-generator\src\main\java\me\zhengjie\domain\GenConfig.java","4","22","Unused import 'javax.persistence.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.rest","..\data\repositories\elunez_eladmin\eladmin-generator\src\main\java\me\zhengjie\rest\GenConfigController.java","4","26","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.rest","..\data\repositories\elunez_eladmin\eladmin-generator\src\main\java\me\zhengjie\rest\GeneratorController.java","4","31","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.service.impl","..\data\repositories\elunez_eladmin\eladmin-generator\src\main\java\me\zhengjie\service\impl\GeneratorServiceImpl.java","4","28","Unused import 'me.zhengjie.utils.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.utils","..\data\repositories\elunez_eladmin\eladmin-generator\src\main\java\me\zhengjie\utils\ColUtil.java","4","18","Unused import 'org.apache.commons.configuration.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.utils","..\data\repositories\elunez_eladmin\eladmin-generator\src\main\java\me\zhengjie\utils\GenUtil.java","4","19","Unused import 'cn.hutool.extra.template.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.domain","..\data\repositories\elunez_eladmin\eladmin-logging\src\main\java\me\zhengjie\domain\SysLog.java","4","24","Unused import 'javax.persistence.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.rest","..\data\repositories\elunez_eladmin\eladmin-logging\src\main\java\me\zhengjie\rest\SysLogController.java","4","31","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.service.impl","..\data\repositories\elunez_eladmin\eladmin-logging\src\main\java\me\zhengjie\service\impl\SysLogServiceImpl.java","4","30","Unused import 'me.zhengjie.utils.*'","Code Style","UnnecessaryImport"
"1","me.zhengjie.modules.maint.domain","..\data\repositories\elunez_eladmin\eladmin-system\src\main\java\me\zhengjie\modules\maint\domain\App.java","4","24","Unused import 'javax.persistence.*'","Code Style","UnnecessaryImport"
