"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.facebook.imagepipeline.animated.impl","..\data\repositories\facebook_fresco\animated-base\src\main\java\com\facebook\imagepipeline\animated\impl\AnimatedDrawableBackendImpl.java","3","33","Possible God Class (WMC=59, ATFD=61, TCC=21.164%)","Design","GodClass"
"2","com.facebook.imagepipeline.animated.impl","..\data\repositories\facebook_fresco\animated-base\src\main\java\com\facebook\imagepipeline\animated\impl\AnimatedDrawableBackendImpl.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.facebook.imagepipeline.animated.impl","..\data\repositories\facebook_fresco\animated-base\src\main\java\com\facebook\imagepipeline\animated\impl\AnimatedImageCompositor.java","3","164","The method 'prepareCanvasWithClosestCachedFrame(int, Canvas)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedRepeatedPostprocessorProducerTest.java","4","34","Unused import 'org.junit.*'","Code Style","UnnecessaryImport"
"2","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedRepeatedPostprocessorProducerTest.java","4","35","Unused import 'org.junit.runner.*'","Code Style","UnnecessaryImport"
"3","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedRepeatedPostprocessorProducerTest.java","4","36","Unused import 'org.mockito.*'","Code Style","UnnecessaryImport"
"4","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedRepeatedPostprocessorProducerTest.java","4","37","Unused import 'org.mockito.invocation.*'","Code Style","UnnecessaryImport"
"5","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedRepeatedPostprocessorProducerTest.java","4","38","Unused import 'org.mockito.stubbing.*'","Code Style","UnnecessaryImport"
"6","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedRepeatedPostprocessorProducerTest.java","4","39","Unused import 'org.robolectric.*'","Code Style","UnnecessaryImport"
"7","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedRepeatedPostprocessorProducerTest.java","4","40","Unused import 'org.robolectric.annotation.*'","Code Style","UnnecessaryImport"
"8","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedRepeatedPostprocessorProducerTest.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"9","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedRepeatedPostprocessorProducerTest.java","3","44","Too many fields","Design","TooManyFields"
"1","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedSingleUsePostprocessorProducerTest.java","4","29","Unused import 'org.junit.*'","Code Style","UnnecessaryImport"
"2","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedSingleUsePostprocessorProducerTest.java","4","30","Unused import 'org.junit.runner.*'","Code Style","UnnecessaryImport"
"3","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedSingleUsePostprocessorProducerTest.java","4","31","Unused import 'org.mockito.*'","Code Style","UnnecessaryImport"
"4","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedSingleUsePostprocessorProducerTest.java","4","32","Unused import 'org.mockito.invocation.*'","Code Style","UnnecessaryImport"
"5","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedSingleUsePostprocessorProducerTest.java","4","33","Unused import 'org.mockito.stubbing.*'","Code Style","UnnecessaryImport"
"6","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedSingleUsePostprocessorProducerTest.java","4","34","Unused import 'org.robolectric.*'","Code Style","UnnecessaryImport"
"7","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedSingleUsePostprocessorProducerTest.java","4","35","Unused import 'org.robolectric.annotation.*'","Code Style","UnnecessaryImport"
"8","com.facebook.imagepipeline.producers","..\data\repositories\facebook_fresco\animated-base\src\test\java\com\facebook\imagepipeline\producers\AnimatedSingleUsePostprocessorProducerTest.java","3","39","Too many fields","Design","TooManyFields"
"1","com.facebook.fresco.animation.bitmap","..\data\repositories\facebook_fresco\animated-drawable\src\test\java\com\facebook\fresco\animation\bitmap\BitmapAnimationBackendTest.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.facebook.animated.giflite.decoder","..\data\repositories\facebook_fresco\animated-gif-lite\src\main\java\com\facebook\animated\giflite\decoder\GifMetadataDecoder.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.facebook.animated.giflite.decoder","..\data\repositories\facebook_fresco\animated-gif-lite\src\main\java\com\facebook\animated\giflite\decoder\GifMetadataDecoder.java","3","99","The method 'readGifInfo()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.facebook.animated.gif","..\data\repositories\facebook_fresco\animated-gif\src\main\java\com\facebook\animated\gif\GifFrame.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.facebook.animated.gif","..\data\repositories\facebook_fresco\animated-gif\src\main\java\com\facebook\animated\gif\GifImage.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.facebook.imagepipeline.animated.factory","..\data\repositories\facebook_fresco\animated-gif\src\test\java\com\facebook\imagepipeline\animated\factory\AnimatedImageFactoryGifImplTest.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.facebook.animated.webp","..\data\repositories\facebook_fresco\animated-webp\src\main\java\com\facebook\animated\webp\WebPFrame.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.facebook.animated.webp","..\data\repositories\facebook_fresco\animated-webp\src\main\java\com\facebook\animated\webp\WebPImage.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.facebook.imagepipeline.animated.factory","..\data\repositories\facebook_fresco\animated-webp\src\test\java\com\facebook\imagepipeline\animated\factory\AnimatedImageFactoryWebPImplTest.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.facebook.drawee.backends.pipeline","..\data\repositories\facebook_fresco\drawee-backends\drawee-pipeline\src\main\java\com\facebook\drawee\backends\pipeline\DefaultDrawableFactory.java","3","51","The method 'createDrawable(CloseableImage)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.facebook.drawee.backends.pipeline","..\data\repositories\facebook_fresco\drawee-backends\drawee-pipeline\src\main\java\com\facebook\drawee\backends\pipeline\Fresco.java","3","58","The method 'initialize(Context, ImagePipelineConfig, DraweeConfig, boolean)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","com.facebook.drawee.backends.pipeline","..\data\repositories\facebook_fresco\drawee-backends\drawee-pipeline\src\main\java\com\facebook\drawee\backends\pipeline\PipelineDraweeController.java","3","65","Possible God Class (WMC=82, ATFD=30, TCC=4.828%)","Design","GodClass"
"2","com.facebook.drawee.backends.pipeline","..\data\repositories\facebook_fresco\drawee-backends\drawee-pipeline\src\main\java\com\facebook\drawee\backends\pipeline\PipelineDraweeController.java","3","65","The class 'PipelineDraweeController' has a total cyclomatic complexity of 82 (highest 7).","Design","CyclomaticComplexity"
"3","com.facebook.drawee.backends.pipeline","..\data\repositories\facebook_fresco\drawee-backends\drawee-pipeline\src\main\java\com\facebook\drawee\backends\pipeline\PipelineDraweeController.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.facebook.drawee.backends.pipeline","..\data\repositories\facebook_fresco\drawee-backends\drawee-pipeline\src\main\java\com\facebook\drawee\backends\pipeline\PipelineDraweeControllerBuilder.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.facebook.drawee.backends.pipeline.info","..\data\repositories\facebook_fresco\drawee-backends\drawee-pipeline\src\main\java\com\facebook\drawee\backends\pipeline\info\ImageOriginUtils.java","3","51","The method 'mapProducerNameToImageOrigin(String)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","com.facebook.drawee.backends.pipeline.info.internal","..\data\repositories\facebook_fresco\drawee-backends\drawee-pipeline\src\main\java\com\facebook\drawee\backends\pipeline\info\internal\ImagePerfStateManager.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.facebook.drawee.span","..\data\repositories\facebook_fresco\drawee-span\src\main\java\com\facebook\drawee\span\DraweeSpanStringBuilder.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.facebook.drawee.span","..\data\repositories\facebook_fresco\drawee-span\src\main\java\com\facebook\drawee\span\DraweeSpanStringBuilder.java","3","297","The method 'onFinalImageSet(String, ImageInfo, Animatable)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.facebook.drawee.controller","..\data\repositories\facebook_fresco\drawee\src\main\java\com\facebook\drawee\controller\AbstractDraweeController.java","3","59","Possible God Class (WMC=159, ATFD=48, TCC=14.183%)","Design","GodClass"
"2","com.facebook.drawee.controller","..\data\repositories\facebook_fresco\drawee\src\main\java\com\facebook\drawee\controller\AbstractDraweeController.java","3","59","The class 'AbstractDraweeController' has a total cyclomatic complexity of 159 (highest 12).","Design","CyclomaticComplexity"
"3","com.facebook.drawee.controller","..\data\repositories\facebook_fresco\drawee\src\main\java\com\facebook\drawee\controller\AbstractDraweeController.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.facebook.drawee.controller","..\data\repositories\facebook_fresco\drawee\src\main\java\com\facebook\drawee\controller\AbstractDraweeController.java","3","60","Too many fields","Design","TooManyFields"
"5","com.facebook.drawee.controller","..\data\repositories\facebook_fresco\drawee\src\main\java\com\facebook\drawee\controller\AbstractDraweeController.java","3","151","The method 'init(String, Object)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"6","com.facebook.drawee.controller","..\data\repositories\facebook_fresco\drawee\src\main\java\com\facebook\drawee\controller\AbstractDraweeController.java","3","627","The method 'onNewResultInternal(String, DataSource<T>, T, float, boolean, boolean, boolean)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"7","com.facebook.drawee.controller","..\data\repositories\facebook_fresco\drawee\src\main\java\com\facebook\drawee\controller\AbstractDraweeController.java","3","696","The method 'onFailureInternal(String, DataSource<T>, Throwable, boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.facebook.drawee.controller","..\data\repositories\facebook_fresco\drawee\src\main\java\com\facebook\drawee\controller\AbstractDraweeControllerBuilder.java","3","35","Possible God Class (WMC=69, ATFD=15, TCC=7.246%)","Design","GodClass"
"2","com.facebook.drawee.controller","..\data\repositories\facebook_fresco\drawee\src\main\java\com\facebook\drawee\controller\AbstractDraweeControllerBuilder.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
