"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.gson.typeadapters","..\data\repositories\google_gson\extras\src\main\java\com\google\gson\typeadapters\UtcDateTypeAdapter.java","3","33","Possible God Class (WMC=48, ATFD=10, TCC=0.000%)","Design","GodClass"
"2","com.google.gson.typeadapters","..\data\repositories\google_gson\extras\src\main\java\com\google\gson\typeadapters\UtcDateTypeAdapter.java","3","140","The method 'parse(String, ParsePosition)' has a cyclomatic complexity of 22.","Design","CyclomaticComplexity"
"3","com.google.gson.typeadapters","..\data\repositories\google_gson\extras\src\main\java\com\google\gson\typeadapters\UtcDateTypeAdapter.java","3","255","The method 'parseInt(String, int, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.google.gson.typeadapters","..\data\repositories\google_gson\extras\src\test\java\com\google\gson\typeadapters\RuntimeTypeAdapterFactoryTest.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.gson","..\data\repositories\google_gson\gson\src\main\java\com\google\gson\Gson.java","3","150","Possible God Class (WMC=109, ATFD=42, TCC=3.104%)","Design","GodClass"
"2","com.google.gson","..\data\repositories\google_gson\gson\src\main\java\com\google\gson\Gson.java","3","150","The class 'Gson' has a total cyclomatic complexity of 109 (highest 15).","Design","CyclomaticComplexity"
"3","com.google.gson","..\data\repositories\google_gson\gson\src\main\java\com\google\gson\Gson.java","3","150","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.google.gson","..\data\repositories\google_gson\gson\src\main\java\com\google\gson\Gson.java","3","597","The method 'getAdapter(TypeToken<T>)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","com.google.gson","..\data\repositories\google_gson\gson\src\main\java\com\google\gson\Gson.java","3","1342","The method 'fromJson(JsonReader, TypeToken<T>)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","com.google.gson","..\data\repositories\google_gson\gson\src\main\java\com\google\gson\GsonBuilder.java","3","93","Possible God Class (WMC=61, ATFD=21, TCC=10.038%)","Design","GodClass"
"2","com.google.gson","..\data\repositories\google_gson\gson\src\main\java\com\google\gson\GsonBuilder.java","3","93","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.google.gson","..\data\repositories\google_gson\gson\src\main\java\com\google\gson\GsonBuilder.java","3","93","Too many fields","Design","TooManyFields"
"1","com.google.gson","..\data\repositories\google_gson\gson\src\main\java\com\google\gson\JsonArray.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.gson","..\data\repositories\google_gson\gson\src\main\java\com\google\gson\JsonObject.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.gson","..\data\repositories\google_gson\gson\src\main\java\com\google\gson\JsonPrimitive.java","3","35","Possible God Class (WMC=58, ATFD=7, TCC=32.164%)","Design","GodClass"
