"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.greenrobot.eventbus.annotationprocessor","..\data\repositories\greenrobot_EventBus\EventBusAnnotationProcessor\src\org\greenrobot\eventbus\annotationprocessor\EventBusAnnotationProcessor.java","3","61","Possible God Class (WMC=84, ATFD=35, TCC=5.147%)","Design","GodClass"
"2","org.greenrobot.eventbus.annotationprocessor","..\data\repositories\greenrobot_EventBus\EventBusAnnotationProcessor\src\org\greenrobot\eventbus\annotationprocessor\EventBusAnnotationProcessor.java","3","61","The class 'EventBusAnnotationProcessor' has a total cyclomatic complexity of 84 (highest 15).","Design","CyclomaticComplexity"
"3","org.greenrobot.eventbus.annotationprocessor","..\data\repositories\greenrobot_EventBus\EventBusAnnotationProcessor\src\org\greenrobot\eventbus\annotationprocessor\EventBusAnnotationProcessor.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","org.greenrobot.eventbus.annotationprocessor","..\data\repositories\greenrobot_EventBus\EventBusAnnotationProcessor\src\org\greenrobot\eventbus\annotationprocessor\EventBusAnnotationProcessor.java","3","79","The method 'process(Set<? extends TypeElement>, RoundEnvironment)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","org.greenrobot.eventbus.annotationprocessor","..\data\repositories\greenrobot_EventBus\EventBusAnnotationProcessor\src\org\greenrobot\eventbus\annotationprocessor\EventBusAnnotationProcessor.java","3","168","The method 'checkForSubscribersToSkip(Messager, String)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"6","org.greenrobot.eventbus.annotationprocessor","..\data\repositories\greenrobot_EventBus\EventBusAnnotationProcessor\src\org\greenrobot\eventbus\annotationprocessor\EventBusAnnotationProcessor.java","3","364","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.greenrobot.eventbusperf","..\data\repositories\greenrobot_EventBus\EventBusPerformance\src\org\greenrobot\eventbusperf\TestRunner.java","3","60","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.greenrobot.eventbusperf","..\data\repositories\greenrobot_EventBus\EventBusPerformance\src\org\greenrobot\eventbusperf\TestSetupActivity.java","3","116","Empty if statement","Code Style","EmptyControlStatement"
"2","org.greenrobot.eventbusperf","..\data\repositories\greenrobot_EventBus\EventBusPerformance\src\org\greenrobot\eventbusperf\TestSetupActivity.java","3","118","Empty if statement","Code Style","EmptyControlStatement"
"1","org.greenrobot.eventbus","..\data\repositories\greenrobot_EventBus\EventBusTestJava\src\main\java\org\greenrobot\eventbus\EventBusBasicTest.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
