"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.iluwatar.bytecode","..\data\repositories\iluwatar_java-design-patterns\bytecode\src\main\java\com\iluwatar\bytecode\VirtualMachine.java","3","58","The method 'execute(int[])' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.iluwatar.commander","..\data\repositories\iluwatar_java-design-patterns\commander\src\main\java\com\iluwatar\commander\AppAllCases.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.iluwatar.commander","..\data\repositories\iluwatar_java-design-patterns\commander\src\main\java\com\iluwatar\commander\Commander.java","3","73","The class 'Commander' has a total cyclomatic complexity of 80 (highest 11).","Design","CyclomaticComplexity"
"2","com.iluwatar.commander","..\data\repositories\iluwatar_java-design-patterns\commander\src\main\java\com\iluwatar\commander\Commander.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.iluwatar.commander","..\data\repositories\iluwatar_java-design-patterns\commander\src\main\java\com\iluwatar\commander\Commander.java","3","295","The method 'updateQueue(QueueTask)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.iluwatar.commander","..\data\repositories\iluwatar_java-design-patterns\commander\src\main\java\com\iluwatar\commander\Retry.java","3","102","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.iluwatar.commander","..\data\repositories\iluwatar_java-design-patterns\commander\src\test\java\com\iluwatar\commander\CommanderTest.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.iluwatar.doublechecked.locking","..\data\repositories\iluwatar_java-design-patterns\double-checked-locking\src\test\java\com\iluwatar\doublechecked\locking\InventoryTest.java","3","88","Empty while statement","Code Style","EmptyControlStatement"
"1","com.iluwatar.event.asynchronous","..\data\repositories\iluwatar_java-design-patterns\event-based-asynchronous\src\main\java\com\iluwatar\event\asynchronous\EventManager.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.iluwatar.eda.model","..\data\repositories\iluwatar_java-design-patterns\event-driven-architecture\src\main\java\com\iluwatar\eda\model\User.java","4","27","Unused import 'com.iluwatar.eda.event.UserCreatedEvent'","Code Style","UnnecessaryImport"
"1","com.iluwatar.fluentinterface.fluentiterable.simple","..\data\repositories\iluwatar_java-design-patterns\fluent-interface\src\main\java\com\iluwatar\fluentinterface\fluentiterable\simple\SimpleFluentIterable.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.iluwatar.fluentinterface.fluentiterable","..\data\repositories\iluwatar_java-design-patterns\fluent-interface\src\test\java\com\iluwatar\fluentinterface\fluentiterable\FluentIterableTest.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.iluwatar.halfsynchalfasync","..\data\repositories\iluwatar_java-design-patterns\half-sync-half-async\src\main\java\com\iluwatar\halfsynchalfasync\AsynchronousService.java","3","94","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","","..\data\repositories\iluwatar_java-design-patterns\health-check\src\test\java\RetryConfigTest.java","3","64","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","service","..\data\repositories\iluwatar_java-design-patterns\layered-architecture\src\main\java\service\CakeBakingServiceImpl.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.iluwatar.idempotentconsumer","..\data\repositories\iluwatar_java-design-patterns\microservices-idempotent-consumer\src\main\java\com\iluwatar\idempotentconsumer\RequestStateMachine.java","3","46","The method 'next(Request, Status)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.iluwatar.model.view.intent","..\data\repositories\iluwatar_java-design-patterns\model-view-intent\src\test\java\com\iluwatar\model\view\intent\CalculatorViewModelTest.java","4","29","Unused import 'com.iluwatar.model.view.intent.actions.*'","Code Style","UnnecessaryImport"
"1","com.iluwatar.monad","..\data\repositories\iluwatar_java-design-patterns\monad\src\main\java\com\iluwatar\monad\App.java","4","28","Unused import 'java.util.function.Function'","Code Style","UnnecessaryImport"
