"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java","3","373","The method 'compound(Lexeme)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\CJKSegmenter.java","3","53","The method 'analyze(AnalyzeContext)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\CN_QuantifierSegmenter.java","1","39","The class name 'CN_QuantifierSegmenter' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"2","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\CN_QuantifierSegmenter.java","3","107","The method 'processCNumber(AnalyzeContext)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"3","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\CN_QuantifierSegmenter.java","3","143","The method 'processCount(AnalyzeContext)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"1","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\CharacterUtil.java","3","50","The method 'identifyCharType(char)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"1","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java","3","127","The method 'processMixLetter(AnalyzeContext)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"2","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java","3","227","The method 'processArabicLetter(AnalyzeContext)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"3","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java","3","240","Empty if statement","Code Style","EmptyControlStatement"
"1","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\Lexeme.java","3","215","The method 'getLexemeTypeString()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\LexemePath.java","3","197","The method 'compareTo(LexemePath)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\SurrogatePairSegmenter.java","4","3","Unused import 'org.wltea.analyzer.dic.Dictionary'","Code Style","UnnecessaryImport"
"2","org.wltea.analyzer.core","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\core\SurrogatePairSegmenter.java","4","4","Unused import 'org.wltea.analyzer.dic.Hit'","Code Style","UnnecessaryImport"
"1","org.wltea.analyzer.dic","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\dic\DictSegment.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.wltea.analyzer.dic","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\dic\DictSegment.java","3","104","The method 'match(char[], int, int, Hit)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","org.wltea.analyzer.dic","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\dic\Dictionary.java","3","61","Possible God Class (WMC=98, ATFD=22, TCC=30.952%)","Design","GodClass"
"2","org.wltea.analyzer.dic","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\dic\Dictionary.java","3","61","The class 'Dictionary' has a total cyclomatic complexity of 98 (highest 11).","Design","CyclomaticComplexity"
"3","org.wltea.analyzer.dic","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\dic\Dictionary.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","org.wltea.analyzer.dic","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\dic\Dictionary.java","3","442","The method 'getRemoteWordsUnprivileged(String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.wltea.analyzer.dic","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\dic\Monitor.java","3","63","The method 'runUnprivileged()' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"2","org.wltea.analyzer.dic","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\dic\Monitor.java","3","96","Empty if statement","Code Style","EmptyControlStatement"
"1","org.wltea.analyzer.help","..\data\repositories\infinilabs_analysis-ik\core\src\main\java\org\wltea\analyzer\help\CharacterHelper.java","3","21","The method 'isCJKCharacter(char)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.wltea.analyzer.lucene","..\data\repositories\infinilabs_analysis-ik\core\src\test\java\org\wltea\analyzer\lucene\IKAnalyzerTests.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.wltea.analyzer.lucene","..\data\repositories\infinilabs_analysis-ik\core\src\test\java\org\wltea\analyzer\lucene\IKAnalyzerTests.java","3","272","The method 'mapTypeStringToInt(String)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
