"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","hudson.cli","..\data\repositories\jenkinsci_jenkins\cli\src\main\java\hudson\cli\CLI.java","3","75","Possible God Class (WMC=93, ATFD=32, TCC=3.297%)","Design","GodClass"
"2","hudson.cli","..\data\repositories\jenkinsci_jenkins\cli\src\main\java\hudson\cli\CLI.java","3","75","The class 'CLI' has a total cyclomatic complexity of 93 (highest 62).","Design","CyclomaticComplexity"
"3","hudson.cli","..\data\repositories\jenkinsci_jenkins\cli\src\main\java\hudson\cli\CLI.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","hudson.cli","..\data\repositories\jenkinsci_jenkins\cli\src\main\java\hudson\cli\CLI.java","3","116","The method '_main(String[])' has a cyclomatic complexity of 62.","Design","CyclomaticComplexity"
"1","hudson.cli","..\data\repositories\jenkinsci_jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java","3","124","The method 'run()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","hudson.cli","..\data\repositories\jenkinsci_jenkins\cli\src\main\java\hudson\cli\SSHCLI.java","3","122","Consider simply returning the value vs storing it in local variable 'exitStatus'","Code Style","UnnecessaryLocalBeforeReturn"
"1","hudson.util","..\data\repositories\jenkinsci_jenkins\cli\src\main\java\hudson\util\QuotedStringTokenizer.java","3","56","The class 'QuotedStringTokenizer' has a total cyclomatic complexity of 106 (highest 38).","Design","CyclomaticComplexity"
"2","hudson.util","..\data\repositories\jenkinsci_jenkins\cli\src\main\java\hudson\util\QuotedStringTokenizer.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","hudson.util","..\data\repositories\jenkinsci_jenkins\cli\src\main\java\hudson\util\QuotedStringTokenizer.java","3","142","The method 'hasMoreTokens()' has a cyclomatic complexity of 38.","Design","CyclomaticComplexity"
"4","hudson.util","..\data\repositories\jenkinsci_jenkins\cli\src\main\java\hudson\util\QuotedStringTokenizer.java","3","435","The method 'unquote(String)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","hudson.cli","..\data\repositories\jenkinsci_jenkins\cli\src\test\java\hudson\cli\PrivateKeyProviderTest.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
