"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","me.zhyd.oauth.config","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\config\AuthConfig.java","4","4","Unused import 'lombok.*'","Code Style","UnnecessaryImport"
"2","me.zhyd.oauth.config","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\config\AuthConfig.java","3","21","Too many fields","Design","TooManyFields"
"1","me.zhyd.oauth.config","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\config\AuthDefaultSource.java","4","5","Unused import 'me.zhyd.oauth.request.*'","Code Style","UnnecessaryImport"
"1","me.zhyd.oauth.model","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\model\AuthResponse.java","4","3","Unused import 'lombok.*'","Code Style","UnnecessaryImport"
"1","me.zhyd.oauth.model","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\model\AuthToken.java","4","3","Unused import 'lombok.*'","Code Style","UnnecessaryImport"
"2","me.zhyd.oauth.model","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\model\AuthToken.java","3","18","Too many fields","Design","TooManyFields"
"1","me.zhyd.oauth.model","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\model\AuthUser.java","4","4","Unused import 'lombok.*'","Code Style","UnnecessaryImport"
"1","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthDefaultRequest.java","4","15","Unused import 'me.zhyd.oauth.utils.*'","Code Style","UnnecessaryImport"
"2","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthDefaultRequest.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthFigmaRequest.java","4","15","Unused import 'me.zhyd.oauth.utils.*'","Code Style","UnnecessaryImport"
"1","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthGoogleRequest.java","4","16","Duplicate import 'me.zhyd.oauth.utils.HttpUtils'","Code Style","UnnecessaryImport"
"1","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthHuaweiV3Request.java","4","16","Unused import 'me.zhyd.oauth.utils.*'","Code Style","UnnecessaryImport"
"1","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthLinkedinRequest.java","3","105","The method 'getAvatar(JSONObject)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthOktaRequest.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthQqRequest.java","4","15","Unused import 'me.zhyd.oauth.utils.*'","Code Style","UnnecessaryImport"
"1","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthWeChatEnterpriseThirdQrcodeRequest.java","4","14","Unused import 'me.zhyd.oauth.utils.*'","Code Style","UnnecessaryImport"
"2","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthWeChatEnterpriseThirdQrcodeRequest.java","3","63","Consider simply returning the value vs storing it in local variable 'authToken'","Code Style","UnnecessaryLocalBeforeReturn"
"1","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthWeChatMpRequest.java","4","15","Unused import 'me.zhyd.oauth.utils.*'","Code Style","UnnecessaryImport"
"1","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\request\AuthWeiboRequest.java","4","16","Unused import 'me.zhyd.oauth.utils.*'","Code Style","UnnecessaryImport"
"1","me.zhyd.oauth.utils","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\utils\AuthChecker.java","3","27","The method 'isSupportedAuth(AuthConfig, AuthSource)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","me.zhyd.oauth.utils","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\utils\Base64Utils.java","3","141","The method 'encode(byte[], boolean, boolean)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","me.zhyd.oauth.utils","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\utils\GlobalAuthUtils.java","3","24","Possible God Class (WMC=48, ATFD=7, TCC=7.353%)","Design","GodClass"
"2","me.zhyd.oauth.utils","..\data\repositories\justauth_JustAuth\src\main\java\me\zhyd\oauth\utils\GlobalAuthUtils.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","me.zhyd.oauth","..\data\repositories\justauth_JustAuth\src\test\java\me\zhyd\oauth\AuthRequestBuilderTest.java","4","6","Unused import 'me.zhyd.oauth.request.*'","Code Style","UnnecessaryImport"
"1","me.zhyd.oauth.request","..\data\repositories\justauth_JustAuth\src\test\java\me\zhyd\oauth\request\AuthWeChatEnterpriseWebRequestTest.java","4","7","Unused static import 'org.junit.Assert.*'","Code Style","UnnecessaryImport"
"1","me.zhyd.oauth.utils","..\data\repositories\justauth_JustAuth\src\test\java\me\zhyd\oauth\utils\GlobalAuthUtilsTest.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
