"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.macro.mall.tiny.controller","..\data\repositories\macrozheng_mall-learning\mall-tiny-01\src\main\java\com\macro\mall\tiny\controller\PmsBrandController.java","4","12","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.tiny.mbg.mapper","..\data\repositories\macrozheng_mall-learning\mall-tiny-01\src\main\java\com\macro\mall\tiny\mbg\mapper\PmsBrandMapper.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.macro.mall.tiny.mbg.model","..\data\repositories\macrozheng_mall-learning\mall-tiny-01\src\main\java\com\macro\mall\tiny\mbg\model\PmsBrandExample.java","3","56","Consider simply returning the value vs storing it in local variable 'criteria'","Code Style","UnnecessaryLocalBeforeReturn"
"2","com.macro.mall.tiny.mbg.model","..\data\repositories\macrozheng_mall-learning\mall-tiny-01\src\main\java\com\macro\mall\tiny\mbg\model\PmsBrandExample.java","3","66","The class 'GeneratedCriteria' has a total cyclomatic complexity of 142 (highest 4).","Design","CyclomaticComplexity"
"3","com.macro.mall.tiny.mbg.model","..\data\repositories\macrozheng_mall-learning\mall-tiny-01\src\main\java\com\macro\mall\tiny\mbg\model\PmsBrandExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.macro.mall.tiny.controller","..\data\repositories\macrozheng_mall-learning\mall-tiny-02\src\main\java\com\macro\mall\tiny\controller\PmsBrandController.java","4","16","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.tiny.mbg.mapper","..\data\repositories\macrozheng_mall-learning\mall-tiny-02\src\main\java\com\macro\mall\tiny\mbg\mapper\PmsBrandMapper.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.macro.mall.tiny.mbg.model","..\data\repositories\macrozheng_mall-learning\mall-tiny-02\src\main\java\com\macro\mall\tiny\mbg\model\PmsBrandExample.java","3","56","Consider simply returning the value vs storing it in local variable 'criteria'","Code Style","UnnecessaryLocalBeforeReturn"
"2","com.macro.mall.tiny.mbg.model","..\data\repositories\macrozheng_mall-learning\mall-tiny-02\src\main\java\com\macro\mall\tiny\mbg\model\PmsBrandExample.java","3","66","The class 'GeneratedCriteria' has a total cyclomatic complexity of 142 (highest 4).","Design","CyclomaticComplexity"
"3","com.macro.mall.tiny.mbg.model","..\data\repositories\macrozheng_mall-learning\mall-tiny-02\src\main\java\com\macro\mall\tiny\mbg\model\PmsBrandExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.macro.mall.tiny","..\data\repositories\macrozheng_mall-learning\mall-tiny-02\src\test\java\com\macro\mall\tiny\MallTinyApplicationTests.java","4","5","Unused import 'org.springframework.test.context.junit4.SpringRunner'","Code Style","UnnecessaryImport"
"1","com.macro.mall.tiny.controller","..\data\repositories\macrozheng_mall-learning\mall-tiny-03\src\main\java\com\macro\mall\tiny\controller\PmsBrandController.java","4","16","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.tiny.mbg.mapper","..\data\repositories\macrozheng_mall-learning\mall-tiny-03\src\main\java\com\macro\mall\tiny\mbg\mapper\PmsBrandMapper.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.macro.mall.tiny.mbg.model","..\data\repositories\macrozheng_mall-learning\mall-tiny-03\src\main\java\com\macro\mall\tiny\mbg\model\PmsBrandExample.java","3","56","Consider simply returning the value vs storing it in local variable 'criteria'","Code Style","UnnecessaryLocalBeforeReturn"
"2","com.macro.mall.tiny.mbg.model","..\data\repositories\macrozheng_mall-learning\mall-tiny-03\src\main\java\com\macro\mall\tiny\mbg\model\PmsBrandExample.java","3","66","The class 'GeneratedCriteria' has a total cyclomatic complexity of 142 (highest 4).","Design","CyclomaticComplexity"
"3","com.macro.mall.tiny.mbg.model","..\data\repositories\macrozheng_mall-learning\mall-tiny-03\src\main\java\com\macro\mall\tiny\mbg\model\PmsBrandExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.macro.mall.tiny.service","..\data\repositories\macrozheng_mall-learning\mall-tiny-03\src\main\java\com\macro\mall\tiny\service\RedisService.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.macro.mall.tiny.service.impl","..\data\repositories\macrozheng_mall-learning\mall-tiny-03\src\main\java\com\macro\mall\tiny\service\impl\RedisServiceImpl.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.macro.mall.tiny.service.impl","..\data\repositories\macrozheng_mall-learning\mall-tiny-03\src\main\java\com\macro\mall\tiny\service\impl\UmsMemberServiceImpl.java","4","10","Unused import 'org.springframework.util.StringUtils'","Code Style","UnnecessaryImport"
"1","com.macro.mall.tiny","..\data\repositories\macrozheng_mall-learning\mall-tiny-03\src\test\java\com\macro\mall\tiny\MallTinyApplicationTests.java","4","5","Unused import 'org.springframework.test.context.junit4.SpringRunner'","Code Style","UnnecessaryImport"
"1","com.macro.mall.tiny.config","..\data\repositories\macrozheng_mall-learning\mall-tiny-04\src\main\java\com\macro\mall\tiny\config\SecurityConfig.java","4","6","Unused import 'com.macro.mall.tiny.domain.AdminUserDetails'","Code Style","UnnecessaryImport"
"2","com.macro.mall.tiny.config","..\data\repositories\macrozheng_mall-learning\mall-tiny-04\src\main\java\com\macro\mall\tiny\config\SecurityConfig.java","4","7","Unused import 'com.macro.mall.tiny.service.UmsAdminService'","Code Style","UnnecessaryImport"
