"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\MinioController.java","4","8","Unused import 'io.minio.*'","Code Style","UnnecessaryImport"
"2","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\MinioController.java","4","16","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\OmsOrderController.java","4","5","Unused import 'com.macro.mall.dto.*'","Code Style","UnnecessaryImport"
"2","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\OmsOrderController.java","4","13","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\OmsOrderReturnApplyController.java","4","15","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\OmsOrderReturnReasonController.java","4","12","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\OmsOrderSettingController.java","4","11","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\PmsBrandController.java","4","14","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\PmsProductAttributeCategoryController.java","4","13","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\PmsProductAttributeController.java","4","16","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\PmsProductCategoryController.java","4","15","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\PmsProductController.java","4","15","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\PmsSkuStockController.java","4","11","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\SmsCouponController.java","4","13","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\SmsFlashPromotionController.java","4","12","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\SmsFlashPromotionProductRelationController.java","4","13","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\SmsFlashPromotionSessionController.java","4","12","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\SmsHomeAdvertiseController.java","4","12","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\SmsHomeBrandController.java","4","12","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\SmsHomeNewProductController.java","4","12","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\SmsHomeRecommendProductController.java","4","12","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\SmsHomeRecommendSubjectController.java","4","12","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\UmsAdminController.java","4","20","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"2","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\UmsAdminController.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\UmsMenuController.java","4","13","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\UmsResourceCategoryController.java","4","11","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\UmsResourceController.java","4","13","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\UmsRoleController.java","4","5","Unused import 'com.macro.mall.model.*'","Code Style","UnnecessaryImport"
"2","com.macro.mall.controller","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\controller\UmsRoleController.java","4","12","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.dto","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\dto\PmsProductParam.java","4","3","Unused import 'com.macro.mall.model.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.service","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\service\OmsOrderService.java","4","3","Unused import 'com.macro.mall.dto.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.service.impl","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\service\impl\OmsOrderServiceImpl.java","4","6","Unused import 'com.macro.mall.dto.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.service.impl","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductCategoryServiceImpl.java","4","11","Unused import 'com.macro.mall.model.*'","Code Style","UnnecessaryImport"
"1","com.macro.mall.service.impl","..\data\repositories\macrozheng_mall\mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductServiceImpl.java","4","6","Unused import 'com.macro.mall.dao.*'","Code Style","UnnecessaryImport"
