"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.nostra13.universalimageloader.cache.disc.impl.ext","..\data\repositories\nostra13_Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\cache\disc\impl\ext\DiskLruCache.java","3","87","Possible God Class (WMC=121, ATFD=47, TCC=30.688%)","Design","GodClass"
"2","com.nostra13.universalimageloader.cache.disc.impl.ext","..\data\repositories\nostra13_Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\cache\disc\impl\ext\DiskLruCache.java","3","87","The class 'DiskLruCache' has a total cyclomatic complexity of 121 (highest 17).","Design","CyclomaticComplexity"
"3","com.nostra13.universalimageloader.cache.disc.impl.ext","..\data\repositories\nostra13_Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\cache\disc\impl\ext\DiskLruCache.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.nostra13.universalimageloader.cache.disc.impl.ext","..\data\repositories\nostra13_Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\cache\disc\impl\ext\DiskLruCache.java","3","203","The method 'open(File, int, int, long, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"5","com.nostra13.universalimageloader.cache.disc.impl.ext","..\data\repositories\nostra13_Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\cache\disc\impl\ext\DiskLruCache.java","3","286","The method 'readJournalLine(String)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"6","com.nostra13.universalimageloader.cache.disc.impl.ext","..\data\repositories\nostra13_Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\cache\disc\impl\ext\DiskLruCache.java","3","318","Empty if statement","Code Style","EmptyControlStatement"
"7","com.nostra13.universalimageloader.cache.disc.impl.ext","..\data\repositories\nostra13_Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\cache\disc\impl\ext\DiskLruCache.java","3","534","The method 'completeEdit(Editor, boolean)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"1","com.nostra13.universalimageloader.cache.disc.impl.ext","..\data\repositories\nostra13_Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\cache\disc\impl\ext\LruDiskCache.java","3","82","The constructor 'LruDiskCache(File, File, FileNameGenerator, long, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.nostra13.universalimageloader.cache.disc.impl.ext","..\data\repositories\nostra13_Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\cache\disc\impl\ext\StrictLineReader.java","3","124","The method 'readLine()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","com.nostra13.universalimageloader.core","..\data\repositories\nostra13_Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
