"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","zipkin2","..\data\repositories\openzipkin_zipkin\benchmarks\src\test\java\zipkin2\SpanBenchmarks.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","zipkin2.codec","..\data\repositories\openzipkin_zipkin\benchmarks\src\test\java\zipkin2\codec\CodecBenchmarks.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","zipkin2.codec","..\data\repositories\openzipkin_zipkin\benchmarks\src\test\java\zipkin2\codec\JacksonSpanDecoder.java","3","20","Possible God Class (WMC=68, ATFD=19, TCC=16.667%)","Design","GodClass"
"2","zipkin2.codec","..\data\repositories\openzipkin_zipkin\benchmarks\src\test\java\zipkin2\codec\JacksonSpanDecoder.java","3","85","The method 'parseSpan(JsonParser)' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"3","zipkin2.codec","..\data\repositories\openzipkin_zipkin\benchmarks\src\test\java\zipkin2\codec\JacksonSpanDecoder.java","3","159","The method 'parseEndpoint(JsonParser)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","zipkin2.codec","..\data\repositories\openzipkin_zipkin\benchmarks\src\test\java\zipkin2\codec\MoshiSpanDecoder.java","3","90","The method 'fromJson(JsonReader)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"2","zipkin2.codec","..\data\repositories\openzipkin_zipkin\benchmarks\src\test\java\zipkin2\codec\MoshiSpanDecoder.java","3","197","The method 'fromJson(JsonReader)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","zipkin2.codec","..\data\repositories\openzipkin_zipkin\benchmarks\src\test\java\zipkin2\codec\ProtobufSpanDecoder.java","3","120","The method 'decodeOne(CodedInputStream)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"1","zipkin2.codec","..\data\repositories\openzipkin_zipkin\benchmarks\src\test\java\zipkin2\codec\WireSpanDecoder.java","3","121","The method 'decodeOne(ProtoReader)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"2","zipkin2.codec","..\data\repositories\openzipkin_zipkin\benchmarks\src\test\java\zipkin2\codec\WireSpanDecoder.java","3","227","The method 'decodeList(ProtoReader)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","zipkin2.internal","..\data\repositories\openzipkin_zipkin\benchmarks\src\test\java\zipkin2\internal\Proto3CodecInteropTest.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
