"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.navercorp.pinpoint.agent.plugin.proxy.apache","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-plugins\proxy-apache\src\main\java\com\navercorp\pinpoint\agent\plugin\proxy\apache\ApacheRequestParser.java","3","49","The method 'parseHeader(String, String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.navercorp.pinpoint.sdk.v1.concurrent","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-sdk\src\main\java\com\navercorp\pinpoint\sdk\v1\concurrent\TraceExecutorService.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.navercorp.pinpoint.sdk.v1.concurrent","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-sdk\src\main\java\com\navercorp\pinpoint\sdk\v1\concurrent\TraceScheduledExecutorService.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.pinpoint.test.plugin","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-testweb\aws-sdk-s3-plugin-testweb\src\main\java\com\pinpoint\test\plugin\AwsSdkS3PluginController.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.pinpoint.test.plugin","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-testweb\aws-sdk-s3-plugin-testweb\src\main\java\com\pinpoint\test\plugin\AwsSdkS3PluginController.java","3","164","Empty else statement","Code Style","EmptyControlStatement"
"3","com.pinpoint.test.plugin","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-testweb\aws-sdk-s3-plugin-testweb\src\main\java\com\pinpoint\test\plugin\AwsSdkS3PluginController.java","3","183","Empty else statement","Code Style","EmptyControlStatement"
"1","com.pinpoint.test.plugin.client","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-testweb\dubbo-plugin-testweb\src\main\java\com\pinpoint\test\plugin\client\DubboConsumerPluginTestController.java","3","51","Consider simply returning the value vs storing it in local variable 'message'","Code Style","UnnecessaryLocalBeforeReturn"
"1","com.pinpoint.test.plugin","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-testweb\httpclient4-plugin-testweb\src\main\java\com\pinpoint\test\plugin\HttpClient4PluginController.java","3","51","Consider simply returning the value vs storing it in local variable 'responseBody'","Code Style","UnnecessaryLocalBeforeReturn"
"1","com.pinpoint.test.plugin","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-testweb\httpclient5-plugin-testweb\src\main\java\com\pinpoint\test\plugin\HttpClient5PluginController.java","3","227","Empty while statement","Code Style","EmptyControlStatement"
"2","com.pinpoint.test.plugin","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-testweb\httpclient5-plugin-testweb\src\main\java\com\pinpoint\test\plugin\HttpClient5PluginController.java","3","339","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.pinpointest.plugin.controller","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-testweb\jdk-http-plugin-testweb\src\main\java\com\pinpointest\plugin\controller\JdkHttpPluginController.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.pinpoint.test.plugin","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-testweb\kafka-4-plugin-testweb\src\main\java\com\pinpoint\test\plugin\KafkaPluginController.java","3","35","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.pinpoint.test.plugin","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-testweb\kafka-4-plugin-testweb\src\main\java\com\pinpoint\test\plugin\TestConsumer.java","3","98","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.pinpoint.test.plugin","..\data\repositories\pinpoint-apm_pinpoint\agent-module\agent-testweb\kafka-plugin-testweb\src\main\java\com\pinpoint\test\plugin\KafkaPluginController.java","3","35","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
