"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.pdown.gui","..\data\repositories\proxyee-down-org_proxyee-down\main\src\main\java\org\pdown\gui\DownApplication.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.pdown.gui","..\data\repositories\proxyee-down-org_proxyee-down\main\src\main\java\org\pdown\gui\DownApplication.java","3","142","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","org.pdown.gui","..\data\repositories\proxyee-down-org_proxyee-down\main\src\main\java\org\pdown\gui\DownApplication.java","3","193","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","org.pdown.gui","..\data\repositories\proxyee-down-org_proxyee-down\main\src\main\java\org\pdown\gui\DownApplication.java","3","272","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.pdown.gui.content","..\data\repositories\proxyee-down-org_proxyee-down\main\src\main\java\org\pdown\gui\content\PDownConfigContent.java","4","5","Unused import 'java.nio.file.FileSystem'","Code Style","UnnecessaryImport"
"2","org.pdown.gui.content","..\data\repositories\proxyee-down-org_proxyee-down\main\src\main\java\org\pdown\gui\content\PDownConfigContent.java","4","6","Unused import 'java.nio.file.FileSystems'","Code Style","UnnecessaryImport"
"1","org.pdown.gui.extension","..\data\repositories\proxyee-down-org_proxyee-down\main\src\main\java\org\pdown\gui\extension\ExtensionContent.java","3","17","Possible God Class (WMC=57, ATFD=46, TCC=28.788%)","Design","GodClass"
"2","org.pdown.gui.extension","..\data\repositories\proxyee-down-org_proxyee-down\main\src\main\java\org\pdown\gui\extension\ExtensionContent.java","3","31","The method 'load()' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"3","org.pdown.gui.extension","..\data\repositories\proxyee-down-org_proxyee-down\main\src\main\java\org\pdown\gui\extension\ExtensionContent.java","3","53","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","org.pdown.gui.extension","..\data\repositories\proxyee-down-org_proxyee-down\main\src\main\java\org\pdown\gui\extension\ExtensionContent.java","3","80","The method 'refresh(String, boolean)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
