"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.geekq.admin.pojo","..\data\repositories\qiurunze123_miaosha\miaosha-admin\miaosha-admin-api\src\main\java\com\geekq\admin\pojo\OrdersExample.java","3","56","Consider simply returning the value vs storing it in local variable 'criteria'","Code Style","UnnecessaryLocalBeforeReturn"
"2","com.geekq.admin.pojo","..\data\repositories\qiurunze123_miaosha\miaosha-admin\miaosha-admin-api\src\main\java\com\geekq\admin\pojo\OrdersExample.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.geekq.common.enums","..\data\repositories\qiurunze123_miaosha\miaosha-admin\miaosha-admin-common\src\main\java\com\geekq\common\enums\MessageStatus.java","1","10","The enum name 'messageType' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"2","com.geekq.common.enums","..\data\repositories\qiurunze123_miaosha\miaosha-admin\miaosha-admin-common\src\main\java\com\geekq\common\enums\MessageStatus.java","1","53","The enum name 'sendType' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"1","com.geekq.common.utils","..\data\repositories\qiurunze123_miaosha\miaosha-admin\miaosha-admin-common\src\main\java\com\geekq\common\utils\Constanst.java","1","9","The enum name 'orderStaus' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"1","com.geekq.common.utils","..\data\repositories\qiurunze123_miaosha\miaosha-admin\miaosha-admin-common\src\main\java\com\geekq\common\utils\JsonUtils.java","3","27","Consider simply returning the value vs storing it in local variable 'string'","Code Style","UnnecessaryLocalBeforeReturn"
"2","com.geekq.common.utils","..\data\repositories\qiurunze123_miaosha\miaosha-admin\miaosha-admin-common\src\main\java\com\geekq\common\utils\JsonUtils.java","3","44","Consider simply returning the value vs storing it in local variable 't'","Code Style","UnnecessaryLocalBeforeReturn"
"3","com.geekq.common.utils","..\data\repositories\qiurunze123_miaosha\miaosha-admin\miaosha-admin-common\src\main\java\com\geekq\common\utils\JsonUtils.java","3","64","Consider simply returning the value vs storing it in local variable 'list'","Code Style","UnnecessaryLocalBeforeReturn"
"1","com.geekq.common.utils.md5","..\data\repositories\qiurunze123_miaosha\miaosha-admin\miaosha-admin-common\src\main\java\com\geekq\common\utils\md5\MD5Utils.java","3","20","Consider simply returning the value vs storing it in local variable 'salt'","Code Style","UnnecessaryLocalBeforeReturn"
"1","com.geekq.common.utils.numcal","..\data\repositories\qiurunze123_miaosha\miaosha-admin\miaosha-admin-common\src\main\java\com\geekq\common\utils\numcal\CalculateUtil.java","3","227","Consider simply returning the value vs storing it in local variable 'accountManagementCharge'","Code Style","UnnecessaryLocalBeforeReturn"
