"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.redisson.helidon","..\data\repositories\redisson_redisson\redisson-helidon\redisson-helidon-20\src\main\java\org\redisson\helidon\RedissonExtension.java","4","25","Unused import 'javax.enterprise.inject.spi.*'","Code Style","UnnecessaryImport"
"1","org.redisson.helidon","..\data\repositories\redisson_redisson\redisson-helidon\redisson-helidon-30\src\main\java\org\redisson\helidon\RedissonExtension.java","4","20","Unused import 'jakarta.enterprise.inject.spi.*'","Code Style","UnnecessaryImport"
"1","org.redisson.helidon","..\data\repositories\redisson_redisson\redisson-helidon\redisson-helidon-40\src\main\java\org\redisson\helidon\RedissonExtension.java","4","20","Unused import 'jakarta.enterprise.inject.spi.*'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-4\src\main\java\org\redisson\hibernate\RedissonRegionFactory.java","4","19","Unused import 'org.hibernate.cache.spi.*'","Code Style","UnnecessaryImport"
"2","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-4\src\main\java\org\redisson\hibernate\RedissonRegionFactory.java","4","30","Unused import 'org.redisson.hibernate.region.*'","Code Style","UnnecessaryImport"
"3","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-4\src\main\java\org\redisson\hibernate\RedissonRegionFactory.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-4\src\main\java\org\redisson\hibernate\RedissonRegionNativeFactory.java","4","21","Unused import 'org.redisson.Redisson'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-4\src\test\java\org\redisson\hibernate\ReadWriteTest.java","4","16","Unnecessary import from the current package 'org.redisson.hibernate.RedissonRegionFactory'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-4\src\test\java\org\redisson\hibernate\TransactionalTest.java","4","16","Unnecessary import from the current package 'org.redisson.hibernate.RedissonRegionFactory'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-52\src\main\java\org\redisson\hibernate\JndiRedissonRegionFactory.java","4","26","Unused import 'org.hibernate.internal.util.jndi.JndiHelper'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-52\src\main\java\org\redisson\hibernate\RedissonRegionFactory.java","4","21","Unused import 'org.hibernate.cache.spi.*'","Code Style","UnnecessaryImport"
"2","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-52\src\main\java\org\redisson\hibernate\RedissonRegionFactory.java","4","33","Unused import 'org.redisson.hibernate.region.*'","Code Style","UnnecessaryImport"
"3","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-52\src\main\java\org\redisson\hibernate\RedissonRegionFactory.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.redisson.hibernate.strategy","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-52\src\main\java\org\redisson\hibernate\strategy\ReadWriteNaturalIdRegionAccessStrategy.java","4","26","Unused import 'org.redisson.api.RLock'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-52\src\test\java\org\redisson\hibernate\CollectionTest.java","4","14","Unused import 'javax.persistence.*'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-52\src\test\java\org\redisson\hibernate\ReadWriteTest.java","4","16","Unnecessary import from the current package 'org.redisson.hibernate.RedissonRegionFactory'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-52\src\test\java\org\redisson\hibernate\TransactionalTest.java","4","17","Unnecessary import from the current package 'org.redisson.hibernate.RedissonRegionFactory'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-53\src\main\java\org\redisson\hibernate\RedissonRegionFactory.java","4","26","Unused import 'org.hibernate.cache.spi.support.*'","Code Style","UnnecessaryImport"
"2","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-53\src\main\java\org\redisson\hibernate\RedissonRegionFactory.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-53\src\main\java\org\redisson\hibernate\RedissonStorage.java","4","23","Unused import 'org.redisson.connection.ConnectionManager'","Code Style","UnnecessaryImport"
"1","org.redisson.hibernate","..\data\repositories\redisson_redisson\redisson-hibernate\redisson-hibernate-53\src\test\java\org\redisson\hibernate\CollectionTest.java","4","14","Unused import 'javax.persistence.*'","Code Style","UnnecessaryImport"
