"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.scwang.refresh.layout.activity.style","..\data\repositories\scwang90_SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\activity\style\ClassicsStyleActivity.java","3","120","The method 'onItemClick(AdapterView<?>, View, int, long)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.scwang.refresh.layout.activity.style","..\data\repositories\scwang90_SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\activity\style\StoreHouseStyleActivity.java","3","90","The method 'onItemClick(AdapterView<?>, View, int, long)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.scwang.refresh.layout.adapter","..\data\repositories\scwang90_SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\adapter\BaseRecyclerAdapter.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.scwang.refresh.layout.fragment.index","..\data\repositories\scwang90_SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\fragment\index\RefreshStylesFragment.java","3","152","The method 'onStateChanged(RefreshLayout, RefreshState, RefreshState)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","com.scwang.refresh.layout.util","..\data\repositories\scwang90_SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\util\DynamicTimeFormat.java","3","42","The method 'format(Date, StringBuffer, FieldPosition)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.scwang.refresh.layout.util","..\data\repositories\scwang90_SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\util\StatusBarUtil.java","3","26","Possible God Class (WMC=53, ATFD=54, TCC=1.000%)","Design","GodClass"
"2","com.scwang.refresh.layout.util","..\data\repositories\scwang90_SmartRefreshLayout\app\src\main\java\com\scwang\refresh\layout\util\StatusBarUtil.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.scwang.smart.drawable","..\data\repositories\scwang90_SmartRefreshLayout\refresh-drawable-path\src\main\java\com\scwang\smart\drawable\PathsDrawable.java","3","23","Possible God Class (WMC=47, ATFD=17, TCC=32.727%)","Design","GodClass"
"2","com.scwang.smart.drawable","..\data\repositories\scwang90_SmartRefreshLayout\refresh-drawable-path\src\main\java\com\scwang\smart\drawable\PathsDrawable.java","3","38","The method 'onMeasure()' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"1","com.scwang.smart.drawable.path","..\data\repositories\scwang90_SmartRefreshLayout\refresh-drawable-path\src\main\java\com\scwang\smart\drawable\path\PathParser.java","3","29","Possible God Class (WMC=83, ATFD=12, TCC=0.000%)","Design","GodClass"
"2","com.scwang.smart.drawable.path","..\data\repositories\scwang90_SmartRefreshLayout\refresh-drawable-path\src\main\java\com\scwang\smart\drawable\path\PathParser.java","3","29","The class 'PathParser' has a total cyclomatic complexity of 83 (highest 40).","Design","CyclomaticComplexity"
"3","com.scwang.smart.drawable.path","..\data\repositories\scwang90_SmartRefreshLayout\refresh-drawable-path\src\main\java\com\scwang\smart\drawable\path\PathParser.java","3","93","The method 'transformScaleCommand(float, float, char, float[])' has a cyclomatic complexity of 40.","Design","CyclomaticComplexity"
"4","com.scwang.smart.drawable.path","..\data\repositories\scwang90_SmartRefreshLayout\refresh-drawable-path\src\main\java\com\scwang\smart\drawable\path\PathParser.java","3","358","The method 'extract(String, int, ExtractFloatResult)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
