"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","jadx.cli","..\data\repositories\skylot_jadx\jadx-cli\src\main\java\jadx\cli\JCommanderWrapper.java","3","30","Possible God Class (WMC=49, ATFD=40, TCC=10.476%)","Design","GodClass"
"2","jadx.cli","..\data\repositories\skylot_jadx\jadx-cli\src\main\java\jadx\cli\JCommanderWrapper.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","jadx.cli","..\data\repositories\skylot_jadx\jadx-cli\src\main\java\jadx\cli\JCommanderWrapper.java","3","140","The method 'printOptions(JCommander, PrintStream, boolean)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"4","jadx.cli","..\data\repositories\skylot_jadx\jadx-cli\src\main\java\jadx\cli\JCommanderWrapper.java","3","227","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","jadx.cli","..\data\repositories\skylot_jadx\jadx-cli\src\main\java\jadx\cli\JadxCLIArgs.java","3","39","Possible God Class (WMC=72, ATFD=52, TCC=3.388%)","Design","GodClass"
"2","jadx.cli","..\data\repositories\skylot_jadx\jadx-cli\src\main\java\jadx\cli\JadxCLIArgs.java","3","39","Too many fields","Design","TooManyFields"
"1","jadx.cli","..\data\repositories\skylot_jadx\jadx-cli\src\main\java\jadx\cli\SingleClassMode.java","3","22","The method 'process(JadxDecompiler, JadxCLIArgs)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"1","jadx.cli.commands","..\data\repositories\skylot_jadx\jadx-cli\src\main\java\jadx\cli\commands\CommandPlugins.java","3","68","The method 'process(JCommanderWrapper, JCommander)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"1","jadx.cli","..\data\repositories\skylot_jadx\jadx-cli\src\test\java\jadx\cli\JadxCLIArgsTest.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jadx.zip.parser","..\data\repositories\skylot_jadx\jadx-commons\jadx-zip\src\main\java\jadx\zip\parser\JadxZipParser.java","3","37","Possible God Class (WMC=87, ATFD=43, TCC=28.775%)","Design","GodClass"
"2","jadx.zip.parser","..\data\repositories\skylot_jadx\jadx-commons\jadx-zip\src\main\java\jadx\zip\parser\JadxZipParser.java","3","37","The class 'JadxZipParser' has a total cyclomatic complexity of 87 (highest 7).","Design","CyclomaticComplexity"
"3","jadx.zip.parser","..\data\repositories\skylot_jadx\jadx-commons\jadx-zip\src\main\java\jadx\zip\parser\JadxZipParser.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jadx.zip.security","..\data\repositories\skylot_jadx\jadx-commons\jadx-zip\src\main\java\jadx\zip\security\JadxZipSecurity.java","3","65","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","jadx.api","..\data\repositories\skylot_jadx\jadx-core\src\main\java\jadx\api\ICodeWriter.java","3","10","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","jadx.api","..\data\repositories\skylot_jadx\jadx-core\src\main\java\jadx\api\JadxArgs.java","3","48","Possible God Class (WMC=157, ATFD=8, TCC=2.494%)","Design","GodClass"
"2","jadx.api","..\data\repositories\skylot_jadx\jadx-core\src\main\java\jadx\api\JadxArgs.java","3","48","The class 'JadxArgs' has a total cyclomatic complexity of 157 (highest 5).","Design","CyclomaticComplexity"
