"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.springframework.boot.build","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\AntoraConventions.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.boot.build","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\JavaConventions.java","3","126","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.boot.build.antora","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\antora\AntoraAsciidocAttributes.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.boot.build.antora","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\antora\GenerateAntoraPlaybook.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.boot.build.architecture","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\architecture\ArchitectureRules.java","3","69","Possible God Class (WMC=51, ATFD=19, TCC=0.000%)","Design","GodClass"
"2","org.springframework.boot.build.architecture","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\architecture\ArchitectureRules.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.boot.build.bom","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomExtension.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.springframework.boot.build.bom","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomExtension.java","3","416","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.boot.build.bom","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomPlugin.java","3","96","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.springframework.boot.build.bom","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\BomResolver.java","3","127","The method 'bomFrom(File)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","org.springframework.boot.build.bom.bomr","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\UpgradeDependencies.java","3","66","Possible God Class (WMC=56, ATFD=42, TCC=3.333%)","Design","GodClass"
"2","org.springframework.boot.build.bom.bomr","..\data\repositories\spring-projects_spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\UpgradeDependencies.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
