"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.springframework.build.multirelease","..\data\repositories\spring-projects_spring-framework\buildSrc\src\main\java\org\springframework\build\multirelease\MultiReleaseExtension.java","3","110","Consider simply returning the value vs storing it in local variable 'testTask'","Code Style","UnnecessaryLocalBeforeReturn"
"1","org.springframework.docs.core.aop.ataspectj.aopataspectj","..\data\repositories\spring-projects_spring-framework\framework-docs\src\main\java\org\springframework\docs\core\aop\ataspectj\aopataspectj\ApplicationConfiguration.java","3","26","Consider simply returning the value vs storing it in local variable 'myAspect'","Code Style","UnnecessaryLocalBeforeReturn"
"1","org.springframework.docs.testing.mockmvc.assertj.mockmvctesterrequests","..\data\repositories\spring-projects_spring-framework\framework-docs\src\main\java\org\springframework\docs\testing\mockmvc\assertj\mockmvctesterrequests\HotelControllerTests.java","4","24","Unused static import 'org.springframework.test.web.servlet.request.MockMvcRequestBuilders.get'","Code Style","UnnecessaryImport"
"1","org.springframework.docs.web.webmvc.mvcconfig.mvcconfigpathmatching","..\data\repositories\spring-projects_spring-framework\framework-docs\src\main\java\org\springframework\docs\web\webmvc\mvcconfig\mvcconfigpathmatching\WebConfiguration.java","3","20","Consider simply returning the value vs storing it in local variable 'pathPatternParser'","Code Style","UnnecessaryLocalBeforeReturn"
"1","org.springframework.docs.web.webmvc.mvcconfig.mvcconfigvalidation","..\data\repositories\spring-projects_spring-framework\framework-docs\src\main\java\org\springframework\docs\web\webmvc\mvcconfig\mvcconfigvalidation\WebConfiguration.java","3","30","Consider simply returning the value vs storing it in local variable 'validator'","Code Style","UnnecessaryLocalBeforeReturn"
"1","org.springframework.docs.web.websocket.stomp.websocketstompauthenticationtokenbased","..\data\repositories\spring-projects_spring-framework\framework-docs\src\main\java\org\springframework\docs\web\websocket\stomp\websocketstompauthenticationtokenbased\WebSocketConfiguration.java","3","41","Empty if statement","Code Style","EmptyControlStatement"
"1","org.springframework.docs.web.websocket.stomp.websocketstompconfigurationperformance","..\data\repositories\spring-projects_spring-framework\framework-docs\src\main\java\org\springframework\docs\web\websocket\stomp\websocketstompconfigurationperformance\MessageSizeLimitWebSocketConfiguration.java","4","20","Unused import 'org.springframework.messaging.simp.config.MessageBrokerRegistry'","Code Style","UnnecessaryImport"
"2","org.springframework.docs.web.websocket.stomp.websocketstompconfigurationperformance","..\data\repositories\spring-projects_spring-framework\framework-docs\src\main\java\org\springframework\docs\web\websocket\stomp\websocketstompconfigurationperformance\MessageSizeLimitWebSocketConfiguration.java","4","22","Unused import 'org.springframework.web.socket.config.annotation.StompEndpointRegistry'","Code Style","UnnecessaryImport"
"1","org.springframework.docs.web.websocket.stomp.websocketstompconfigurationperformance","..\data\repositories\spring-projects_spring-framework\framework-docs\src\main\java\org\springframework\docs\web\websocket\stomp\websocketstompconfigurationperformance\WebSocketConfiguration.java","4","20","Unused import 'org.springframework.messaging.simp.config.MessageBrokerRegistry'","Code Style","UnnecessaryImport"
"2","org.springframework.docs.web.websocket.stomp.websocketstompconfigurationperformance","..\data\repositories\spring-projects_spring-framework\framework-docs\src\main\java\org\springframework\docs\web\websocket\stomp\websocketstompconfigurationperformance\WebSocketConfiguration.java","4","22","Unused import 'org.springframework.web.socket.config.annotation.StompEndpointRegistry'","Code Style","UnnecessaryImport"
"1","org.springframework.docs.web.websocket.stomp.websocketstomphandlesimplebroker","..\data\repositories\spring-projects_spring-framework\framework-docs\src\main\java\org\springframework\docs\web\websocket\stomp\websocketstomphandlesimplebroker\WebSocketConfiguration.java","4","25","Unused import 'org.springframework.web.socket.config.annotation.StompEndpointRegistry'","Code Style","UnnecessaryImport"
