"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.piggymetrics.account.controller","..\data\repositories\sqshq_piggymetrics\account-service\src\main\java\com\piggymetrics\account\controller\AccountController.java","4","8","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.piggymetrics.account.controller","..\data\repositories\sqshq_piggymetrics\account-service\src\test\java\com\piggymetrics\account\controller\AccountControllerTest.java","4","5","Unused import 'com.piggymetrics.account.domain.*'","Code Style","UnnecessaryImport"
"1","com.piggymetrics.account.service","..\data\repositories\sqshq_piggymetrics\account-service\src\test\java\com\piggymetrics\account\service\AccountServiceTest.java","4","5","Unused import 'com.piggymetrics.account.domain.*'","Code Style","UnnecessaryImport"
"1","com.piggymetrics.auth.service","..\data\repositories\sqshq_piggymetrics\auth-service\src\main\java\com\piggymetrics\auth\service\UserServiceImpl.java","4","10","Unused import 'org.springframework.util.Assert'","Code Style","UnnecessaryImport"
"1","com.piggymetrics.auth.repository","..\data\repositories\sqshq_piggymetrics\auth-service\src\test\java\com\piggymetrics\auth\repository\UserRepositoryTest.java","4","4","Unused import 'com.piggymetrics.auth.service.security.MongoUserDetailsService'","Code Style","UnnecessaryImport"
"2","com.piggymetrics.auth.repository","..\data\repositories\sqshq_piggymetrics\auth-service\src\test\java\com\piggymetrics\auth\repository\UserRepositoryTest.java","4","8","Unused import 'org.springframework.boot.autoconfigure.mongo.embedded.EmbeddedMongoAutoConfiguration'","Code Style","UnnecessaryImport"
"3","com.piggymetrics.auth.repository","..\data\repositories\sqshq_piggymetrics\auth-service\src\test\java\com\piggymetrics\auth\repository\UserRepositoryTest.java","4","10","Unused import 'org.springframework.boot.test.mock.mockito.MockBean'","Code Style","UnnecessaryImport"
"1","com.piggymetrics.statistics","..\data\repositories\sqshq_piggymetrics\statistics-service\src\main\java\com\piggymetrics\statistics\StatisticsApplication.java","4","5","Unused import 'com.piggymetrics.statistics.service.security.CustomUserInfoTokenServices'","Code Style","UnnecessaryImport"
"2","com.piggymetrics.statistics","..\data\repositories\sqshq_piggymetrics\statistics-service\src\main\java\com\piggymetrics\statistics\StatisticsApplication.java","4","6","Unused import 'org.springframework.beans.factory.annotation.Autowired'","Code Style","UnnecessaryImport"
"3","com.piggymetrics.statistics","..\data\repositories\sqshq_piggymetrics\statistics-service\src\main\java\com\piggymetrics\statistics\StatisticsApplication.java","4","9","Unused import 'org.springframework.boot.autoconfigure.security.oauth2.resource.ResourceServerProperties'","Code Style","UnnecessaryImport"
"4","com.piggymetrics.statistics","..\data\repositories\sqshq_piggymetrics\statistics-service\src\main\java\com\piggymetrics\statistics\StatisticsApplication.java","4","17","Unused import 'org.springframework.security.oauth2.provider.token.ResourceServerTokenServices'","Code Style","UnnecessaryImport"
"1","com.piggymetrics.statistics.controller","..\data\repositories\sqshq_piggymetrics\statistics-service\src\main\java\com\piggymetrics\statistics\controller\StatisticsController.java","4","8","Unused import 'org.springframework.web.bind.annotation.*'","Code Style","UnnecessaryImport"
"1","com.piggymetrics.statistics.service","..\data\repositories\sqshq_piggymetrics\statistics-service\src\main\java\com\piggymetrics\statistics\service\StatisticsServiceImpl.java","4","4","Unused import 'com.piggymetrics.statistics.domain.*'","Code Style","UnnecessaryImport"
