"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\RunCommandService.java","3","58","The method 'onStartCommand(Intent, int, int)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"1","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxActivity.java","3","80","Possible God Class (WMC=144, ATFD=81, TCC=11.202%)","Design","GodClass"
"2","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxActivity.java","3","80","The class 'TermuxActivity' has a total cyclomatic complexity of 144 (highest 13).","Design","CyclomaticComplexity"
"3","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxActivity.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxActivity.java","3","80","Too many fields","Design","TooManyFields"
"5","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxActivity.java","3","363","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"6","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxActivity.java","3","407","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"7","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxActivity.java","3","661","The method 'onContextItemSelected(MenuItem)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxInstaller.java","3","120","The method 'run()' has a cyclomatic complexity of 25.","Design","CyclomaticComplexity"
"2","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxInstaller.java","3","233","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxInstaller.java","3","260","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxInstaller.java","3","284","The method 'run()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxOpenReceiver.java","3","35","The method 'onReceive(Context, Intent)' has a cyclomatic complexity of 18.","Design","CyclomaticComplexity"
"2","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxOpenReceiver.java","3","201","The method 'openFile(Uri, String)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxService.java","3","68","The class 'TermuxService' has a total cyclomatic complexity of 159 (highest 10).","Design","CyclomaticComplexity"
"2","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxService.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxService.java","3","359","The method 'actionServiceExecute(Intent)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"4","com.termux.app","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\TermuxService.java","3","782","The method 'buildNotification()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.termux.app.api.file","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\api\file\FileReceiverActivity.java","3","65","The method 'onResume()' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxActivityRootView.java","3","120","The method 'onGlobalLayout()' has a cyclomatic complexity of 30.","Design","CyclomaticComplexity"
"1","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxSessionsListViewController.java","3","45","The method 'getView(int, View, ViewGroup)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalSessionActivityClient.java","4","6","Unused import 'android.content.ClipData'","Code Style","UnnecessaryImport"
"2","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalSessionActivityClient.java","4","7","Unused import 'android.content.ClipboardManager'","Code Style","UnnecessaryImport"
"3","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalSessionActivityClient.java","4","8","Unused import 'android.content.Context'","Code Style","UnnecessaryImport"
"4","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalSessionActivityClient.java","3","41","The class 'TermuxTerminalSessionActivityClient' has a total cyclomatic complexity of 116 (highest 14).","Design","CyclomaticComplexity"
"5","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalSessionActivityClient.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"6","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalSessionActivityClient.java","3","139","The method 'onSessionFinished(TerminalSession)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalViewClient.java","4","5","Unused import 'android.content.ClipData'","Code Style","UnnecessaryImport"
"2","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalViewClient.java","4","6","Unused import 'android.content.ClipboardManager'","Code Style","UnnecessaryImport"
"3","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalViewClient.java","4","10","Unused import 'android.text.TextUtils'","Code Style","UnnecessaryImport"
"4","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalViewClient.java","4","18","Unused import 'android.widget.Toast'","Code Style","UnnecessaryImport"
"5","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalViewClient.java","3","56","The class 'TermuxTerminalViewClient' has a total cyclomatic complexity of 149 (highest 44).","Design","CyclomaticComplexity"
"6","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalViewClient.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"7","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalViewClient.java","3","241","The method 'onKeyDown(int, KeyEvent, TerminalSession)' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"8","com.termux.app.terminal","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\TermuxTerminalViewClient.java","3","361","The method 'onCodePoint(int, boolean, TerminalSession)' has a cyclomatic complexity of 44.","Design","CyclomaticComplexity"
"1","com.termux.app.terminal.io","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\app\terminal\io\TermuxTerminalExtraKeys.java","3","86","The method 'onTerminalExtraKeyButtonClick(View, String, boolean, boolean, boolean, boolean)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.termux.filepicker","..\data\repositories\termux_termux-app\app\src\main\java\com\termux\filepicker\TermuxDocumentsProvider.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.termux.app.api.file","..\data\repositories\termux_termux-app\app\src\test\java\com\termux\app\api\file\FileReceiverActivityTest.java","4","3","Unnecessary import from the current package 'com.termux.app.api.file.FileReceiverActivity'","Code Style","UnnecessaryImport"
"1","com.termux.terminal","..\data\repositories\termux_termux-app\terminal-emulator\src\main\java\com\termux\terminal\ByteQueue.java","3","20","The method 'read(byte[], boolean)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"2","com.termux.terminal","..\data\repositories\termux_termux-app\terminal-emulator\src\main\java\com\termux\terminal\ByteQueue.java","3","25","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","com.termux.terminal","..\data\repositories\termux_termux-app\terminal-emulator\src\main\java\com\termux\terminal\ByteQueue.java","3","59","The method 'write(byte[], int, int)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"4","com.termux.terminal","..\data\repositories\termux_termux-app\terminal-emulator\src\main\java\com\termux\terminal\ByteQueue.java","3","73","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.termux.terminal","..\data\repositories\termux_termux-app\terminal-emulator\src\main\java\com\termux\terminal\KeyHandler.java","3","57","The class 'KeyHandler' has a total cyclomatic complexity of 126 (highest 112).","Design","CyclomaticComplexity"
"2","com.termux.terminal","..\data\repositories\termux_termux-app\terminal-emulator\src\main\java\com\termux\terminal\KeyHandler.java","3","156","The method 'getCode(int, int, boolean, boolean)' has a cyclomatic complexity of 112.","Design","CyclomaticComplexity"
"1","com.termux.terminal","..\data\repositories\termux_termux-app\terminal-emulator\src\main\java\com\termux\terminal\TerminalBuffer.java","3","11","The class 'TerminalBuffer' has a total cyclomatic complexity of 145 (highest 49).","Design","CyclomaticComplexity"
"2","com.termux.terminal","..\data\repositories\termux_termux-app\terminal-emulator\src\main\java\com\termux\terminal\TerminalBuffer.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
