"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\BeerBelly.java","3","34","Possible God Class (WMC=67, ATFD=9, TCC=22.529%)","Design","GodClass"
"2","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\BeerBelly.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\BeerBelly.java","3","362","The method 'isValid()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\DiskLruCache.java","3","88","Possible God Class (WMC=116, ATFD=47, TCC=32.308%)","Design","GodClass"
"2","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\DiskLruCache.java","3","88","The class 'DiskLruCache' has a total cyclomatic complexity of 116 (highest 17).","Design","CyclomaticComplexity"
"3","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\DiskLruCache.java","3","88","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\DiskLruCache.java","3","269","The method 'readJournal()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"5","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\DiskLruCache.java","3","309","The method 'readJournalLine(String)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"6","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\DiskLruCache.java","3","341","Empty if statement","Code Style","EmptyControlStatement"
"7","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\DiskLruCache.java","3","532","The method 'completeEdit(Editor, boolean)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\SimpleDiskCache.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\SimpleDiskCache.java","3","194","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\SimpleDiskCache.java","3","434","The method 'open()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"4","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\SimpleDiskCache.java","3","459","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\SimpleDiskCache.java","3","471","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.hippo.beerbelly","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\beerbelly\StrictLineReader.java","3","126","The method 'readLine()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"1","com.hippo.conaco","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\conaco\Conaco.java","3","139","Empty while statement","Code Style","EmptyControlStatement"
"1","com.hippo.conaco","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\conaco\ConacoTask.java","3","216","The method 'doInBackground(Void[])' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"2","com.hippo.conaco","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\conaco\ConacoTask.java","3","333","The method 'doInBackground(Void[])' has a cyclomatic complexity of 22.","Design","CyclomaticComplexity"
"3","com.hippo.conaco","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\conaco\ConacoTask.java","3","412","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","com.hippo.conaco","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\conaco\ConacoTask.java","3","449","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.hippo.content","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\content\FileProvider.java","3","324","Possible God Class (WMC=56, ATFD=28, TCC=10.476%)","Design","GodClass"
"2","com.hippo.content","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\content\FileProvider.java","3","324","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.hippo.content","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\content\FileProvider.java","3","585","The method 'parsePathStrategy(Context, String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"4","com.hippo.content","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\content\FileProvider.java","3","700","The method 'getUriForFile(File)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","com.hippo.drawable","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\drawable\RoundSideRectDrawable.java","3","60","Empty else statement","Code Style","EmptyControlStatement"
"1","com.hippo.drawable","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\drawable\UnikeryDrawable.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\AppConfig.java","3","176","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\Crash.java","3","82","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhApplication.java","4","78","Unused import 'java.io.IOException'","Code Style","UnnecessaryImport"
"2","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhApplication.java","4","97","Unused import 'okhttp3.Interceptor'","Code Style","UnnecessaryImport"
"3","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhApplication.java","3","101","Possible God Class (WMC=102, ATFD=66, TCC=2.660%)","Design","GodClass"
"4","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhApplication.java","3","101","The class 'EhApplication' has a total cyclomatic complexity of 102 (highest 13).","Design","CyclomaticComplexity"
"5","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhApplication.java","3","101","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"6","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhApplication.java","3","101","Too many fields","Design","TooManyFields"
"7","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhApplication.java","3","233","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"8","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhApplication.java","3","369","The method 'getOkHttpClient(Context)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"9","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhApplication.java","3","450","The method 'getImageOkHttpClient(Context)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"10","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhApplication.java","3","731","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhDB.java","3","78","The class 'EhDB' has a total cyclomatic complexity of 167 (highest 34).","Design","CyclomaticComplexity"
"2","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhDB.java","3","78","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhDB.java","3","211","The method 'mergeOldDB(Context)' has a cyclomatic complexity of 34.","Design","CyclomaticComplexity"
"4","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhDB.java","3","525","The method 'moveDownloadLabel(int, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"5","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhDB.java","3","737","The method 'moveQuickSearch(int, int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"6","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhDB.java","3","842","The method 'exportDB(Context, File)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"7","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\EhDB.java","3","903","The method 'importDB(Context, File, Handler)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\Hosts.java","3","172","The method 'isValidHost(String)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"2","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\Hosts.java","3","215","The method 'parseV4(String)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"3","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\Hosts.java","3","265","The method 'parseV6(String)' has a cyclomatic complexity of 25.","Design","CyclomaticComplexity"
"1","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\Settings.java","3","52","Possible God Class (WMC=239, ATFD=20, TCC=1.811%)","Design","GodClass"
"2","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\Settings.java","3","52","The class 'Settings' has a total cyclomatic complexity of 239 (highest 8).","Design","CyclomaticComplexity"
"3","com.hippo.ehviewer","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\Settings.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhClient.java","3","151","The method 'doInBackground(Object[])' has a cyclomatic complexity of 29.","Design","CyclomaticComplexity"
"2","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhClient.java","3","228","Empty else statement","Code Style","EmptyControlStatement"
"1","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhConfig.java","3","24","Too many fields","Design","TooManyFields"
"1","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhEngine.java","3","93","The class 'EhEngine' has a total cyclomatic complexity of 211 (highest 25).","Design","CyclomaticComplexity"
"2","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhEngine.java","3","93","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhEngine.java","3","115","The method 'doThrowException(Call, int, Headers, String, Throwable)' has a cyclomatic complexity of 25.","Design","CyclomaticComplexity"
"4","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhEngine.java","3","207","The method 'fillGalleryList(Task, OkHttpClient, List<GalleryInfo>, String, boolean)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"5","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhEngine.java","3","844","The method 'downloadArchive(Task, OkHttpClient, long, String, String, String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"6","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhEngine.java","3","892","The method 'downloadArchiver(Task, OkHttpClient, String, String, String, String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"7","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhEngine.java","3","942","Consider simply returning the value vs storing it in local variable 'downloadUrl'","Code Style","UnnecessaryLocalBeforeReturn"
"8","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhEngine.java","3","1053","The method 'imageSearch(Task, OkHttpClient, File, boolean, boolean, boolean)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhFilter.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhRequestBuilder.java","4","19","Unused import 'android.net.Uri'","Code Style","UnnecessaryImport"
"2","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhRequestBuilder.java","4","23","Unused import 'java.util.Iterator'","Code Style","UnnecessaryImport"
"1","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhTagDatabase.java","3","60","Possible God Class (WMC=62, ATFD=15, TCC=2.941%)","Design","GodClass"
"2","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhTagDatabase.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhTagDatabase.java","3","113","The method 'search(byte[], byte[])' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"4","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhTagDatabase.java","3","426","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhUrl.java","4","20","Unused import 'androidx.annotation.Nullable'","Code Style","UnnecessaryImport"
"2","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhUrl.java","4","23","Unused import 'com.hippo.ehviewer.client.data.GalleryInfo'","Code Style","UnnecessaryImport"
"3","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhUrl.java","3","32","Possible God Class (WMC=57, ATFD=13, TCC=23.810%)","Design","GodClass"
"4","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhUrl.java","3","289","The method 'getFixedPreviewThumbUrl(String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhUtils.java","4","26","Unused import 'com.hippo.util.AppHelper'","Code Style","UnnecessaryImport"
"2","com.hippo.ehviewer.client","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\EhUtils.java","3","105","The method 'getCategoryColor(int)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\FavListUrlBuilder.java","3","115","Empty if statement","Code Style","EmptyControlStatement"
"1","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\GalleryDetail.java","3","29","Too many fields","Design","TooManyFields"
"1","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\GalleryInfo.java","4","29","Unused import 'java.util.Arrays'","Code Style","UnnecessaryImport"
"2","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\GalleryInfo.java","3","33","Too many fields","Design","TooManyFields"
"3","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\GalleryInfo.java","3","314","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\GalleryInfo.java","3","324","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\ListUrlBuilder.java","3","49","The class 'ListUrlBuilder' has a total cyclomatic complexity of 163 (highest 61).","Design","CyclomaticComplexity"
"2","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\ListUrlBuilder.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\ListUrlBuilder.java","3","334","The method 'setQuery(String)' has a cyclomatic complexity of 61.","Design","CyclomaticComplexity"
"4","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\ListUrlBuilder.java","3","416","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\ListUrlBuilder.java","3","553","The method 'build()' has a cyclomatic complexity of 41.","Design","CyclomaticComplexity"
"6","com.hippo.ehviewer.client.data","..\data\repositories\xiaojieonly_Ehviewer_CN_SXJ\app\src\main\java\com\hippo\ehviewer\client\data\ListUrlBuilder.java","3","575","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
