"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.test.banner","..\data\repositories\youth5201314_banner\app\src\main\java\com\test\banner\MainActivity.java","4","17","Unused import 'com.youth.banner.indicator.DrawableIndicator'","Code Style","UnnecessaryImport"
"2","com.test.banner","..\data\repositories\youth5201314_banner\app\src\main\java\com\test\banner\MainActivity.java","4","32","Unused import 'com.youth.banner.listener.OnPageChangeListener'","Code Style","UnnecessaryImport"
"3","com.test.banner","..\data\repositories\youth5201314_banner\app\src\main\java\com\test\banner\MainActivity.java","3","105","The method 'click(View)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"1","com.test.banner.adapter","..\data\repositories\youth5201314_banner\app\src\main\java\com\test\banner\adapter\ImageNetAdapter.java","4","3","Unused import 'android.graphics.Bitmap'","Code Style","UnnecessaryImport"
"2","com.test.banner.adapter","..\data\repositories\youth5201314_banner\app\src\main\java\com\test\banner\adapter\ImageNetAdapter.java","4","4","Unused import 'android.graphics.Outline'","Code Style","UnnecessaryImport"
"3","com.test.banner.adapter","..\data\repositories\youth5201314_banner\app\src\main\java\com\test\banner\adapter\ImageNetAdapter.java","4","5","Unused import 'android.graphics.drawable.Drawable'","Code Style","UnnecessaryImport"
"4","com.test.banner.adapter","..\data\repositories\youth5201314_banner\app\src\main\java\com\test\banner\adapter\ImageNetAdapter.java","4","7","Unused import 'android.view.View'","Code Style","UnnecessaryImport"
"5","com.test.banner.adapter","..\data\repositories\youth5201314_banner\app\src\main\java\com\test\banner\adapter\ImageNetAdapter.java","4","9","Unused import 'android.view.ViewOutlineProvider'","Code Style","UnnecessaryImport"
"6","com.test.banner.adapter","..\data\repositories\youth5201314_banner\app\src\main\java\com\test\banner\adapter\ImageNetAdapter.java","4","12","Unused import 'androidx.annotation.NonNull'","Code Style","UnnecessaryImport"
"7","com.test.banner.adapter","..\data\repositories\youth5201314_banner\app\src\main\java\com\test\banner\adapter\ImageNetAdapter.java","4","13","Unused import 'androidx.annotation.Nullable'","Code Style","UnnecessaryImport"
