"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.zaproxy.zap.tasks","..\data\repositories\zaproxy_zaproxy\buildSrc\src\main\java\org\zaproxy\zap\tasks\CreateGitHubRelease.java","3","148","The method 'createRelease()' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.zaproxy.zap.tasks","..\data\repositories\zaproxy_zaproxy\buildSrc\src\main\java\org\zaproxy\zap\tasks\DownloadMainAddOns.java","3","123","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.zaproxy.zap.tasks","..\data\repositories\zaproxy_zaproxy\buildSrc\src\main\java\org\zaproxy\zap\tasks\GradleBuildWithGitRepos.java","4","46","Unused import 'org.gradle.api.file.FileSystemOperations'","Code Style","UnnecessaryImport"
"2","org.zaproxy.zap.tasks","..\data\repositories\zaproxy_zaproxy\buildSrc\src\main\java\org\zaproxy\zap\tasks\GradleBuildWithGitRepos.java","3","131","The method 'buildWeeklyAddOns()' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","ch.csnc.extension.httpclient","..\data\repositories\zaproxy_zaproxy\zap\src\main\java\ch\csnc\extension\httpclient\SSLContextManager.java","3","73","Possible God Class (WMC=79, ATFD=25, TCC=17.011%)","Design","GodClass"
"2","ch.csnc.extension.httpclient","..\data\repositories\zaproxy_zaproxy\zap\src\main\java\ch\csnc\extension\httpclient\SSLContextManager.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","ch.csnc.extension.httpclient","..\data\repositories\zaproxy_zaproxy\zap\src\main\java\ch\csnc\extension\httpclient\SSLContextManager.java","3","161","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"4","ch.csnc.extension.httpclient","..\data\repositories\zaproxy_zaproxy\zap\src\main\java\ch\csnc\extension\httpclient\SSLContextManager.java","3","179","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","ch.csnc.extension.httpclient","..\data\repositories\zaproxy_zaproxy\zap\src\main\java\ch\csnc\extension\httpclient\SSLContextManager.java","3","444","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"6","ch.csnc.extension.httpclient","..\data\repositories\zaproxy_zaproxy\zap\src\main\java\ch\csnc\extension\httpclient\SSLContextManager.java","3","461","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"7","ch.csnc.extension.httpclient","..\data\repositories\zaproxy_zaproxy\zap\src\main\java\ch\csnc\extension\httpclient\SSLContextManager.java","3","471","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.apache.commons.httpclient","..\data\repositories\zaproxy_zaproxy\zap\src\main\java\org\apache\commons\httpclient\HttpConnection.java","3","106","Possible God Class (WMC=148, ATFD=52, TCC=22.120%)","Design","GodClass"
"2","org.apache.commons.httpclient","..\data\repositories\zaproxy_zaproxy\zap\src\main\java\org\apache\commons\httpclient\HttpConnection.java","3","106","The class 'HttpConnection' has a total cyclomatic complexity of 148 (highest 16).","Design","CyclomaticComplexity"
"3","org.apache.commons.httpclient","..\data\repositories\zaproxy_zaproxy\zap\src\main\java\org\apache\commons\httpclient\HttpConnection.java","3","106","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
