Repository,LLM_ZeroShot,LLM_OneShot,LLM_Calibrated,PMD,CheckStyle
Bigkoo_Android-PickerView,380,378,16,24,18
Blankj_AndroidUtilCode,0,0,0,0,108
Curzibn_Luban,103,102,10,4,7
EnterpriseQualityCoding_FizzBuzzEnterpriseEdition,108,102,0,0,0
H07000223_FlycoTabLayout,0,0,0,0,9
JakeWharton_butterknife,1155,798,282,39,0
JessYanCoding_AndroidAutoSize,0,0,0,6,5
LMAX-Exchange_disruptor,1327,1180,63,14,0
LSPosed_LSPosed,3734,2799,252,83,0
LuckSiege_PictureSelector,0,0,0,0,141
NationalSecurityAgency_ghidra,0,0,0,0,5753
Netflix_Hystrix,4929,3972,305,115,0
PaperMC_Paper,0,0,0,0,522
PhilJay_MPAndroidChart,0,0,0,0,114
ReactiveX_RxJava,20372,21143,1064,674,137
Stirling-Tools_Stirling-PDF,2648,2752,0,88,103
TeamNewPipe_NewPipe,0,0,0,0,153
Tencent_tinker,6056,6002,220,297,220
TheAlgorithms_Java,7334,7625,655,75,44
YunaiV_ruoyi-vue-pro,0,0,0,0,392
YunaiV_yudao-cloud,5162,5701,295,221,372
airbnb_lottie-android,0,0,0,0,94
alibaba_Sentinel,7832,6456,495,9,0
alibaba_arthas,0,0,0,0,168
alibaba_easyexcel,0,0,0,0,117
alibaba_fastjson,16904,10443,1812,901,0
alibaba_nacos,0,0,0,0,334
apache_dolphinscheduler,11562,11542,334,106,0
apache_dubbo,0,0,0,0,645
apache_incubator-seata,41530,34857,781,313,0
apache_rocketmq,26049,22150,1059,858,0
apache_skywalking,13657,11504,589,127,0
apereo_cas,0,0,0,0,467
baomidou_mybatis-plus,6753,3620,393,128,86
binarywang_WxJava,0,0,0,0,209
brettwooldridge_HikariCP,1414,1090,111,84,0
bumptech_glide,0,0,0,0,122
conductor-oss_conductor,10512,7951,455,186,0
cryptomator_cryptomator,1061,1060,66,19,0
dbeaver_dbeaver,59309,60900,249,2330,2201
dromara_Sa-Token,3292,2492,150,49,53
elunez_eladmin,1169,971,46,12,0
facebook_fresco,6169,5004,494,126,92
google_gson,4581,3298,336,80,0
greenrobot_EventBus,645,490,71,16,0
iluwatar_java-design-patterns,3251,3444,171,19,9
infinilabs_analysis-ik,478,321,20,17,14
jenkinsci_jenkins,23975,18255,1258,430,0
jfeinstein10_SlidingMenu,0,0,0,0,38
jhy_jsoup,0,0,0,0,75
justauth_JustAuth,500,331,30,6,6
lgvalle_Material-Animations,24,24,1,0,1
lingochamp_FileDownloader,0,0,0,0,33
macrozheng_mall,1245,1377,271,70,37
macrozheng_mall-learning,653,647,6,26,100
mission-peace_interview,0,0,0,0,85
nostra13_Android-Universal-Image-Loader,1640,1455,74,22,21
openzipkin_zipkin,4182,3132,200,148,105
permissions-dispatcher_PermissionsDispatcher,0,0,0,0,1
pinpoint-apm_pinpoint,25405,25222,972,572,0
provectus_kafka-ui,0,0,0,0,73
proxyee-down-org_proxyee-down,453,466,46,29,0
qiurunze123_miaosha,10332,466,40,16,0
redisson_redisson,27674,28538,853,884,0
scwang90_SmartRefreshLayout,1678,1690,62,82,0
skylot_jadx,13962,14489,826,501,350
spring-projects_spring-boot,29624,29617,1564,75,85
spring-projects_spring-framework,86479,86450,6702,1725,1333
sqshq_piggymetrics,33,40,2,0,8
square_javapoet,0,0,0,0,11
termux_termux-app,6213,6281,282,198,138
williamfiset_Algorithms,0,0,0,0,48
xiaojieonly_Ehviewer_CN_SXJ,8285,8310,331,340,328
xkcoding_spring-boot-demo,0,0,0,0,8
youth5201314_banner,211,214,9,7,62
yuliskov_SmartTube,31181,31163,1299,1072,0
zaproxy_zaproxy,26054,26082,2438,730,484
zxing_zxing,0,0,0,0,161
